original_value,curated_ontology,match_level,stage,top1_match,top1_score,top2_match,top2_score,top3_match,top3_score,top4_match,top4_score,top5_match,top5_score,top6_match,top6_score,top7_match,top7_score,top8_match,top8_score,top9_match,top9_score,top10_match,top10_score,top11_match,top11_score,top12_match,top12_score,top13_match,top13_score,top14_match,top14_score,top15_match,top15_score,top16_match,top16_score,top17_match,top17_score,top18_match,top18_score,top19_match,top19_score,top20_match,top20_score,updated_value,top1_accuracy,top3_accuracy,top5_accuracy
SQUAMOUS_CELL_CARCINOMA,Squamous Cell Carcinoma,1,2,Squamous Cell Carcinoma,0.9384,Squamous Cell Neoplasm,0.8376,Skin Squamous Cell Carcinoma,0.8074,Advanced Squamous Cell Carcinoma,0.7523,Spindle Cell Squamous Carcinoma,0.7317,Carcinoma,0.7169,Cervical Squamous Cell Carcinoma,0.7133,Lung Squamous Cell Carcinoma,0.7085,Skin Carcinoma,0.7038,Oral Cavity Squamous Cell Carcinoma,0.7031,"Cervical Squamous Cell Carcinoma, Not Otherwise Specified",0.7026,Endometrial Squamous Cell Carcinoma,0.7007,Stage 0 Squamous Cell Carcinoma,0.6975,Metastatic Squamous Cell Carcinoma,0.6965,"Squamous Cell Carcinoma, Clear Cell Type",0.6953,Papillary Squamous Cell Carcinoma,0.6950,Carcinoma Unspecified Site,0.6933,Benign Squamous Cell Neoplasm,0.6916,Acantholytic Squamous Cell Carcinoma,0.6881,Keratinizing Squamous Cell Carcinoma,0.6862,SQUAMOUS_CELL_CARCINOMA,True,True,True
ST-RELPOS,"Supratentorial Ependymoma, ZFTA-RELA Fusion-Positive",99,2,Refractory Sarcoma,0.5755,Refractory Leiomyosarcoma,0.5734,Rectal Gastrointestinal Stromal Tumor,0.5701,Rectal Serrated Lesions and Polyps,0.5667,Refractory Solitary Fibrous Tumor,0.5662,Low Risk Gastrointestinal Stromal Tumor,0.5654,Microsatellite Stable Rectal Carcinoma,0.5635,Recurrent Gastrointestinal Stromal Tumor,0.5618,Refractory Small Lymphocytic Lymphoma,0.5615,Refractory Soft Tissue Sarcoma,0.5614,Retroperitoneal Gastrointestinal Stromal Tumor,0.5606,Refractory Microsatellite Stable Endometrial Carcinoma,0.5545,Recurrent Microsatellite Stable Colorectal Carcinoma,0.5544,Refractory Microsatellite Stable Colorectal Carcinoma,0.5530,Low Risk Small Intestinal Gastrointestinal Stromal Tumor,0.5495,Intermediate Risk Gastrointestinal Stromal Tumor,0.5489,High Risk Gastrointestinal Stromal Tumor,0.5459,Refractory Splenic Marginal Zone Lymphoma,0.5457,Refractory Malignant Gastrointestinal Stromal Tumor,0.5454,Recurrent Sarcoma,0.5454,ST-RELPOS,False,False,False
ST-YAP,Supratentorial Ependymoma YAP1 Fusion-Positive,99,2,Adenomatous Polyp,0.5731,Papillary Adenoma,0.5728,Sclerosing Polycystic Adenoma,0.5642,Solid Pseudopapillary Neoplasm,0.5537,Lung Papillary Adenoma,0.5533,Primary Neoplasm,0.5512,Traditional Serrated Adenoma,0.5497,Prostate Osteosarcoma,0.5495,Adenoma,0.5492,Neoplastic Polyp,0.5485,Multiple Adenomatous Polyps,0.5465,Asynchronous Multifocal Osteosarcoma,0.5437,Telangiectatic Osteosarcoma,0.5428,Solid Pseudopapillary Neoplasm of the Ovary,0.5420,Adenocarcinoma of Unknown Primary,0.5418,Oropharyngeal Polyp,0.5410,Askin Tumor,0.5386,Epithelioid Hemangioendothelioma with YAP1-TFE3 Gene Fusion,0.5378,Prostate Solitary Fibrous Tumor,0.5370,Superficial Spreading Adenocarcinoma,0.5368,ST-YAP,False,False,False
STAD,Gastric Adenocarcinoma,1,2,Gastric Adenocarcinoma,0.9688,Gastric Carcinoma,0.8658,Sporadic Gastric Adenocarcinoma,0.8428,Gastric Diffuse Adenocarcinoma,0.8322,Gastric Tubular Adenocarcinoma,0.8254,Advanced Gastric Adenocarcinoma,0.8239,Proximal Gastric Adenocarcinoma,0.8118,Gastric Intestinal-Type Adenocarcinoma,0.8068,Gastric Cardia Adenocarcinoma,0.8057,Adenocarcinoma,0.7960,Gastric Adenoma,0.7953,Malignant Gastric Neoplasm,0.7842,Sporadic Gastric Diffuse Adenocarcinoma,0.7771,Gastroesophageal Junction Adenocarcinoma,0.7733,Gastric Papillary Adenocarcinoma,0.7701,Gastric Intramucosal Adenocarcinoma,0.7663,Gallbladder Adenocarcinoma,0.7657,Advanced Gastric Carcinoma,0.7648,Gastric Neoplasm,0.7643,Localized Gastric Adenocarcinoma,0.7615,Stomach Adenocarcinoma,True,True,True
STAD_GS,Gastric Adenocarcinoma,99,2,Aggressive Systemic Mastocytosis with an Associated Germ Cell Tumor,0.5692,Systemic Mastocytosis with an Associated Germ Cell Tumor,0.5605,Sporadic Gastric Diffuse Adenocarcinoma,0.5596,Colorectal Adenoma with Severe Dysplasia,0.5492,Superficial Spreading Adenocarcinoma,0.5479,Dedifferentiated Gastrointestinal Stromal Tumor,0.5440,Acute Myeloid Leukemia with STAG2 Mutation,0.5371,Aggressive Systemic Mastocytosis,0.5369,Spiradenocylindroma,0.5364,Disseminated Adenocarcinoma,0.5342,Multiple Myeloma Myeloma by DS Stage,0.5325,Sarcoma GX,0.5304,Multiple Myeloma with NSD2 Translocation,0.5266,Traditional Serrated Adenoma,0.5252,"Lacrimal Drainage System Adenocarcinoma, Not Otherwise Specified",0.5243,Monostotic Fibrous Dysplasia,0.5240,Poorly Differentiated Synovial Sarcoma,0.5218,Smoldering Systemic Mastocytosis,0.5195,Advanced Synovial Sarcoma,0.5194,Advanced Gastrointestinal Stromal Tumor,0.5185,STAD_GS,False,False,False
"STEROID CELL TUMOR, NOS","Ovarian Steroid Cell Tumor, Not Otherwise Specified",2,2,Ovarian Steroid Cell Tumor,0.8511,"Ovarian Steroid Cell Tumor, Not Otherwise Specified",0.8145,Leydig Cell Tumor,0.7084,Malignant Ovarian Steroid Cell Tumor,0.6959,Well Differentiated Ovarian Steroid Cell Tumor,0.6928,Endocrine Neoplasm,0.6715,Sertoli Cell Tumor,0.6677,Steroid Lipomatosis,0.6584,Glandular Cell Neoplasm,0.6560,Ovarian Leydig Cell Tumor,0.6523,Adrenal Gland Neoplasm,0.6501,Granulosa Cell Tumor,0.6484,"Ovarian Leydig Cell Tumor, Not Otherwise Specified",0.6479,Adrenal Cortical Neoplasm,0.6439,Testicular Leydig Cell Tumor,0.6405,Ovarian Stromal-Leydig Cell Tumor,0.6387,Adrenal Cortical Sex Cord-Stromal Tumor,0.6258,Germ Cell Tumor,0.6198,Adrenal Rest Tumor,0.6192,Carcinoid Tumor,0.6156,"STEROID CELL TUMOR, NOS",False,True,True
STOMACH ADENOCARCINOMA,Gastric Adenocarcinoma,1,2,Gastric Adenocarcinoma,0.9688,Gastric Carcinoma,0.8658,Sporadic Gastric Adenocarcinoma,0.8428,Gastric Diffuse Adenocarcinoma,0.8322,Gastric Tubular Adenocarcinoma,0.8254,Advanced Gastric Adenocarcinoma,0.8239,Proximal Gastric Adenocarcinoma,0.8118,Gastric Intestinal-Type Adenocarcinoma,0.8068,Gastric Cardia Adenocarcinoma,0.8057,Adenocarcinoma,0.7960,Gastric Adenoma,0.7953,Malignant Gastric Neoplasm,0.7842,Sporadic Gastric Diffuse Adenocarcinoma,0.7771,Gastroesophageal Junction Adenocarcinoma,0.7733,Gastric Papillary Adenocarcinoma,0.7701,Gastric Intramucosal Adenocarcinoma,0.7663,Gallbladder Adenocarcinoma,0.7657,Advanced Gastric Carcinoma,0.7648,Gastric Neoplasm,0.7643,Localized Gastric Adenocarcinoma,0.7615,STOMACH ADENOCARCINOMA,True,True,True
"STOMACH ADENOCARCINOMA, SIGNET RING TYPE",Gastric Signet Ring Cell Adenocarcinoma,1,2,Gastric Signet Ring Cell Adenocarcinoma,0.9398,Signet Ring Cell Adenocarcinoma,0.8630,Small Intestinal Signet Ring Cell Adenocarcinoma,0.8331,Colon Signet Ring Cell Adenocarcinoma,0.8229,Colorectal Signet Ring Cell Adenocarcinoma,0.8215,Pancreatic Signet Ring Cell Adenocarcinoma,0.8102,Rectal Signet Ring Cell Adenocarcinoma,0.8084,Rectosigmoid Signet Ring Cell Adenocarcinoma,0.8026,Gallbladder Signet Ring Cell Adenocarcinoma,0.7948,Appendix Signet Ring Cell Adenocarcinoma,0.7921,Prostate Acinar Signet Ring Cell-Like Adenocarcinoma,0.7693,Ovarian Signet Ring Cell Adenocarcinoma,0.7628,Breast Signet Ring Cell Adenocarcinoma,0.7618,Metastatic Signet Ring Cell Adenocarcinoma,0.7565,Signet Ring Melanoma,0.7463,"Cervical Mucinous Adenocarcinoma, Signet Ring Cell-Type",0.7411,Ampulla of Vater Signet Ring Cell Adenocarcinoma,0.7347,Bladder Signet Ring Cell Adenocarcinoma,0.7237,Lung Signet Ring Cell Carcinoma,0.7094,Thyroid Gland Signet Ring Cell Follicular Adenoma,0.6975,"STOMACH ADENOCARCINOMA, SIGNET RING TYPE",True,True,True
STOMACH ADENOCARINOMA,Gastric Adenocarcinoma,2,2,Gastric Adenoma,0.7377,Gastric Adenocarcinoma,0.7319,Tongue Adenoid Cystic Carcinoma,0.7226,Salivary Gland Adenoid Cystic Carcinoma,0.7066,Major Salivary Gland Adenoid Cystic Carcinoma,0.7027,Adenoid Cystic Carcinoma,0.7014,"Gastric Adenoma, Gastric-Type",0.6951,Oral Cavity Adenoid Cystic Carcinoma,0.6910,Gastric Carcinoma,0.6871,Minor Salivary Gland Adenoid Cystic Carcinoma,0.6854,Gastric Body Carcinoma,0.6830,Sporadic Gastric Adenocarcinoma,0.6795,Gastric Adenosquamous Carcinoma,0.6777,Anterior Tongue Adenoid Cystic Carcinoma,0.6762,Gastric Lipoma,0.6722,Pharyngeal Adenoid Cystic Carcinoma,0.6720,Gastric Mucinous Adenocarcinoma,0.6709,Advanced Adenoid Cystic Carcinoma,0.6683,Adenomyoma,0.6675,Gastric Mixed Adenoneuroendocrine Carcinoma,0.6671,STOMACH ADENOCARINOMA,False,True,True
STOMACH CANCER,Gastric Carcinoma,1,2,Gastric Carcinoma,0.9102,Gastric Neoplasm,0.8631,Gastric Adenocarcinoma,0.8408,Malignant Gastric Neoplasm,0.8256,Sporadic Gastric Adenocarcinoma,0.7688,Childhood Gastric Carcinoma,0.7585,Digestive System Carcinoma,0.7583,Early Gastric Cancer,0.7564,Gastric Body Carcinoma,0.7539,Gastric Lymphoma,0.7495,Gastric Adenoma,0.7371,Advanced Gastric Carcinoma,0.7364,Gastroesophageal Cancer,0.7355,Gastric Sarcoma,0.7304,Gastric Melanoma,0.7177,Tongue Carcinoma,0.7150,Gastric Squamous Cell Carcinoma,0.7108,Proximal Gastric Adenocarcinoma,0.7086,Advanced Gastric Adenocarcinoma,0.7066,Localized Gastric Carcinoma,0.7060,STOMACH CANCER,True,True,True
"STOMACH, ADENOCARCINOMA, DIFFUSE TYPE",Gastric Diffuse Adenocarcinoma,1,2,Gastric Diffuse Adenocarcinoma,0.9332,Sporadic Gastric Diffuse Adenocarcinoma,0.8556,Diffuse Type Adenocarcinoma,0.8297,Gastric Adenocarcinoma,0.8139,Gastric Intestinal-Type Adenocarcinoma,0.7766,Advanced Gastric Adenocarcinoma,0.7729,Hereditary Gastric Diffuse Adenocarcinoma,0.7721,Gastric Poorly Cohesive Adenocarcinoma,0.7446,Sporadic Gastric Adenocarcinoma,0.7416,Gastric Mixed Adenocarcinoma,0.7381,"Gastric Adenoma, Gastric-Type",0.7346,Metastatic Gastric Adenocarcinoma,0.7285,Gastric Tubular Adenocarcinoma,0.7219,Gastric Cardia Adenocarcinoma,0.7184,Gastric Mucinous Adenocarcinoma,0.7165,Gastric Hepatoid Adenocarcinoma,0.7130,Advanced Gastric Carcinoma,0.7080,Gastric Carcinoma,0.7045,Proximal Gastric Adenocarcinoma,0.6995,Localized Gastric Adenocarcinoma,0.6918,"STOMACH, ADENOCARCINOMA, DIFFUSE TYPE",True,True,True
"STOMACH, ADENOCARCINOMA, NOT OTHERWISE SPECIFIED NOS",Gastric Adenocarcinoma,1,2,Gastric Adenocarcinoma,0.8483,Gastric Carcinoma,0.7624,Advanced Gastric Adenocarcinoma,0.7595,Gastric Diffuse Adenocarcinoma,0.7478,Gastric Intestinal-Type Adenocarcinoma,0.7402,Malignant Gastric Neoplasm,0.7397,Sporadic Gastric Adenocarcinoma,0.7396,"Salivary Gland Adenocarcinoma, Not Otherwise Specified",0.7189,"Gastric Adenoma, Gastric-Type",0.7185,Advanced Gastric Carcinoma,0.7163,Metastatic Gastric Adenocarcinoma,0.6991,"Salivary Gland High Grade Adenocarcinoma, Not Otherwise Specified",0.6976,Gastric Cardia Adenocarcinoma,0.6937,Gastric Tubular Adenocarcinoma,0.6903,Sporadic Gastric Diffuse Adenocarcinoma,0.6883,Proximal Gastric Adenocarcinoma,0.6832,Gastric Mucinous Adenocarcinoma,0.6832,"Salivary Gland Low Grade Adenocarcinoma, Not Otherwise Specified",0.6768,Gastric Adenoma,0.6736,Gastroesophageal Junction Adenocarcinoma,0.6693,"STOMACH, ADENOCARCINOMA, NOT OTHERWISE SPECIFIED NOS",True,True,True
"STOMACH, INTESTINAL ADENOCARCINOMA, MUCINOUS TYPE",Gastric Mucinous Adenocarcinoma,1,2,Gastric Mucinous Adenocarcinoma,0.8636,"Cervical Mucinous Adenocarcinoma, Intestinal-Type",0.8601,"Endometrial Mucinous Adenocarcinoma, Intestinal-Type",0.8440,Small Intestinal Mucinous Adenocarcinoma,0.8367,Gastric Intestinal-Type Adenocarcinoma,0.8323,"Sinonasal Adenocarcinoma, Intestinal-Type with Mucinous Pattern",0.8247,Colorectal Mucinous Adenocarcinoma,0.8038,"Endometrial Mucinous Adenocarcinoma, Gastric-Type",0.8028,Mucinous Adenocarcinoma,0.7997,Colon Mucinous Adenocarcinoma,0.7877,"Vaginal Mucinous Adenocarcinoma, Intestinal-Type",0.7834,Gastric Intramucosal Adenocarcinoma,0.7830,Appendix Mucinous Adenocarcinoma,0.7745,Salivary Gland Mucinous Adenocarcinoma,0.7597,Gallbladder Mucinous Adenocarcinoma,0.7556,"Gastric Adenoma, Intestinal-Type",0.7544,Ovarian Mucinous Adenocarcinoma,0.7518,Cervical Mucinous Adenocarcinoma,0.7497,Intestinal-Type Adenocarcinoma,0.7478,"Vaginal Mucinous Adenocarcinoma, Gastric-Type",0.7475,"STOMACH, INTESTINAL ADENOCARCINOMA, MUCINOUS TYPE",True,True,True
"STOMACH, INTESTINAL ADENOCARCINOMA, NOT OTHERWISE SPECIFIED NOS",Gastric Intestinal-Type Adenocarcinoma,1,2,Gastric Intestinal-Type Adenocarcinoma,0.8711,"Gastric Adenoma, Intestinal-Type",0.7890,Intestinal-Type Adenocarcinoma,0.7837,Gastric Adenocarcinoma,0.7733,Gastric Intramucosal Adenocarcinoma,0.7323,Salivary Gland Intestinal-Type Adenocarcinoma,0.7212,"Gastrointestinal Tract Adenoma, Intestinal-Type",0.7196,Sporadic Gastric Adenocarcinoma,0.7136,Small Intestinal Adenocarcinoma,0.7117,Gastric Carcinoma,0.7018,"Gallbladder Adenocarcinoma, Intestinal-Type",0.6920,"Sinonasal Adenocarcinoma, Intestinal-Type",0.6809,Inflammatory Bowel Disease-Associated Colorectal Adenocarcinoma,0.6792,Malignant Gastric Neoplasm,0.6773,Gastric Diffuse Adenocarcinoma,0.6753,"Gastric Adenoma, Gastric-Type",0.6727,Intramucosal Adenocarcinoma,0.6699,Advanced Gastric Adenocarcinoma,0.6698,"Salivary Gland Intermediate Grade Adenocarcinoma, Not Otherwise Specified",0.6675,Gastroesophageal Junction Adenocarcinoma,0.6670,"STOMACH, INTESTINAL ADENOCARCINOMA, NOT OTHERWISE SPECIFIED NOS",True,True,True
"STOMACH, INTESTINAL ADENOCARCINOMA, PAPILLARY TYPE",Gastric Papillary Adenocarcinoma,1,2,Gastric Papillary Adenocarcinoma,0.8458,Gastric Intestinal-Type Adenocarcinoma,0.8223,"Sinonasal Adenocarcinoma, Intestinal-Type with Papillary Pattern",0.7748,"Gastric Adenoma, Intestinal-Type",0.7737,Proximal Gastric Adenocarcinoma,0.7480,Intestinal-Type Adenocarcinoma,0.7420,Salivary Gland Intestinal-Type Adenocarcinoma,0.7355,Papillary Adenocarcinoma,0.7261,Invasive Papillary Adenocarcinoma,0.7117,Gastric Adenocarcinoma,0.7089,Gastric Parietal Cell Adenocarcinoma,0.7079,Gastric Intramucosal Adenocarcinoma,0.7010,"Gastrointestinal Tract Adenoma, Intestinal-Type",0.6940,Sporadic Gastric Adenocarcinoma,0.6935,"Gallbladder Adenocarcinoma, Intestinal-Type",0.6871,"Gastric Adenoma, Gastric-Type",0.6845,Gastric Tubular Adenocarcinoma,0.6815,Helicobacter Pylori-Related Gastric Adenocarcinoma,0.6813,"Cervical Mucinous Adenocarcinoma, Intestinal-Type",0.6786,"Human Papillomavirus-Independent Cervical Adenocarcinoma, Gastric-Type",0.6743,"STOMACH, INTESTINAL ADENOCARCINOMA, PAPILLARY TYPE",True,True,True
"STOMACH, INTESTINAL ADENOCARCINOMA, TUBULAR TYPE",Gastric Tubular Adenocarcinoma,1,2,Gastric Tubular Adenocarcinoma,0.8719,Gastric Intestinal-Type Adenocarcinoma,0.8621,Intestinal-Type Adenocarcinoma,0.8115,"Gastric Adenoma, Intestinal-Type",0.7915,Gastric Tubular Adenoma,0.7782,Tubular Adenocarcinoma,0.7637,"Gastrointestinal Tract Adenoma, Intestinal-Type",0.7603,Gastrointestinal Tract Tubular Adenoma,0.7579,Adenocarcinoma in Tubular Adenoma,0.7498,Salivary Gland Intestinal-Type Adenocarcinoma,0.7326,Small Intestinal Tubular Adenoma,0.7316,Small Intestinal Adenocarcinoma,0.7309,Colon Tubular Adenoma,0.7202,Gastric Adenocarcinoma,0.7194,Gastric Intramucosal Adenocarcinoma,0.7120,Colorectal Tubular Adenoma,0.7020,"Sinonasal Adenocarcinoma, Intestinal-Type",0.6972,Adenocarcinoma In Situ in Tubular Adenoma,0.6965,"Cervical Mucinous Adenocarcinoma, Intestinal-Type",0.6891,Small Intestinal Mucinous Adenocarcinoma,0.6839,"STOMACH, INTESTINAL ADENOCARCINOMA, TUBULAR TYPE",True,True,True
SUPERFICIAL SPREADING,Low-CSD Melanoma,99,2,Superficial Spreading Adenocarcinoma,0.7382,Superficial Fibromatosis,0.6524,Superficial Basal Cell Carcinoma,0.6278,Surface Osteoma,0.6166,Cutaneous Lymphoma,0.5926,Squamous Papillomatosis,0.5844,Melanoma,0.5828,Seborrheic Keratosis,0.5808,Superficial Multifocal Basal Cell Carcinoma,0.5807,Sarcoma,0.5802,Superficial Epithelioma with Sebaceous Differentiation,0.5766,Cutaneous Follicular Lymphoma,0.5746,"Low-CSD Melanoma, Superficial Spreading Melanoma Subtype",0.5710,Superficial Angiomyxoma,0.5699,Carcinoma Simplex,0.5670,Inverted Follicular Keratosis,0.5667,Lymphoma by Site,0.5623,Primary Cutaneous Lymphoma,0.5616,Primary Systemic Amyloidosis,0.5595,Cutaneous Melanoma,0.5593,SUPERFICIAL SPREADING,False,False,False
SUPERFICIAL SPREADING MELANOMA,Low-CSD Melanoma,6,2,Superficial Spreading Adenocarcinoma,0.7838,"Low-CSD Melanoma, Superficial Spreading Melanoma Subtype",0.7812,Cutaneous Spitz Melanoma,0.7046,Melanoma,0.7024,Cutaneous Melanoma,0.6998,Low-CSD Melanoma,0.6899,Spindle Cell Melanoma,0.6886,Metastatic Melanoma,0.6771,Metastatic Cutaneous Melanoma,0.6712,Dermal Melanoma,0.6698,High-CSD Melanoma,0.6649,Solar Radiation-Related Cutaneous Melanoma,0.6544,Melanoma in Intermittently Sun-Exposed Skin,0.6535,Metastatic Melanoma in the Skin,0.6514,Mucosal Melanoma,0.6505,Minimal Deviation Melanoma,0.6492,Metastatic Mucosal Melanoma,0.6465,Superficial Multifocal Basal Cell Carcinoma,0.6453,Melanoma in Chronically Sun-Exposed Skin,0.6415,Invasive Cutaneous Melanoma,0.6387,SUPERFICIAL SPREADING MELANOMA,False,False,False
SWEAT GLAND ADENOCARCINOMA,Eccrine Carcinoma,10,2,Sweat Gland Carcinoma,0.9425,Sweat Gland Adenoma,0.8980,Sweat Gland Tubular Carcinoma,0.8790,Malignant Sweat Gland Neoplasm,0.8704,Sweat Gland Neoplasm,0.8482,Endocrine Mucin-Producing Sweat Gland Carcinoma,0.8147,Ductal Eccrine Adenocarcinoma,0.8076,Benign Sweat Gland Neoplasm,0.7847,Vulvar Adenocarcinoma of Sweat Gland Origin,0.7740,Eccrine Carcinoma,0.7538,Salivary Gland Adenocarcinoma,0.7425,Adnexal Secretory Carcinoma,0.7357,Lacrimal Gland Adenocarcinoma,0.7347,Parotid Gland Adenocarcinoma,0.7301,Salivary Gland Sebaceous Carcinoma,0.7281,Adenocarcinoma,0.7250,Syringoacanthoma,0.7248,Thyroid Gland Adenocarcinoma,0.7242,Apocrine Adenoma,0.7224,Eccrine Neoplasm,0.7222,SWEAT GLAND ADENOCARCINOMA,False,False,False
SWEAT GLAND CARCINOMA/APOCRINE ECCRINE CARCINOMA,Sweat Gland Carcinoma,2,2,Eccrine Carcinoma,0.8324,Sweat Gland Carcinoma,0.8289,Apocrine Carcinoma,0.8134,Ductal Eccrine Adenocarcinoma,0.8067,Sweat Gland Tubular Carcinoma,0.7882,Papillary Eccrine Carcinoma,0.7796,Breast Apocrine Carcinoma,0.7530,Endocrine Mucin-Producing Sweat Gland Carcinoma,0.7463,Adnexal Secretory Carcinoma,0.7427,Squamoid Eccrine Ductal Carcinoma,0.7337,Malignant Eccrine Neoplasm,0.7325,Eccrine Neoplasm,0.7283,Malignant Apocrine Neoplasm,0.7221,Sebaceous Carcinoma,0.7194,Apocrine Neoplasm,0.7170,Sweat Gland Adenoma,0.7110,Apocrine Adenoma,0.7084,Adenocarcinoma with Apocrine Metaplasia,0.7052,Malignant Sweat Gland Neoplasm,0.7048,Salivary Gland Sebaceous Carcinoma,0.7016,SWEAT GLAND CARCINOMA/APOCRINE ECCRINE CARCINOMA,False,True,True
SYNOVIAL,Synovial Neoplasm,2,2,Synovial Sarcoma,0.7955,Synovial Neoplasm,0.7850,Benign Synovial Neoplasm,0.7786,Malignant Synovial Neoplasm,0.7675,Cardiac Synovial Sarcoma,0.7213,Pericardial Synovial Sarcoma,0.7197,Fibrous Synovial Sarcoma,0.7185,Gastric Synovial Sarcoma,0.7117,Advanced Synovial Sarcoma,0.7034,Poorly Differentiated Synovial Sarcoma,0.7000,Spindle Cell Synovial Sarcoma,0.6994,Childhood Synovial Sarcoma,0.6993,Adult Synovial Sarcoma,0.6976,Monophasic Synovial Sarcoma,0.6963,Epithelial Synovial Sarcoma,0.6952,Synovial Chondromatosis,0.6921,Synovial Hemangioma,0.6921,Sinonasal Synovial Sarcoma,0.6902,Sarcoma,0.6900,Localized Synovial Sarcoma,0.6893,SYNOVIAL,False,True,True
SYNOVIAL SARCOMA,Synovial Sarcoma,1,2,Synovial Sarcoma,1.0000,Fibrous Synovial Sarcoma,0.9002,Spindle Cell Synovial Sarcoma,0.8910,Adult Synovial Sarcoma,0.8817,Epithelial Synovial Sarcoma,0.8760,Monophasic Synovial Sarcoma,0.8697,Localized Synovial Sarcoma,0.8625,Poorly Differentiated Synovial Sarcoma,0.8571,Cardiac Synovial Sarcoma,0.8546,Childhood Synovial Sarcoma,0.8519,Sinonasal Synovial Sarcoma,0.8486,Kidney Synovial Sarcoma,0.8450,Advanced Synovial Sarcoma,0.8422,Sarcoma,0.8366,Pericardial Synovial Sarcoma,0.8344,Gastric Synovial Sarcoma,0.8255,Pleural Synovial Sarcoma,0.8238,Prostate Synovial Sarcoma,0.8237,Lung Synovial Sarcoma,0.8220,Metastatic Synovial Sarcoma,0.8207,SYNOVIAL SARCOMA,True,True,True
SYNOVIAL SARCOMA - BIPHASIC,Biphasic Synovial Sarcoma,1,2,Biphasic Synovial Sarcoma,0.9697,Pleural Biphasic Synovial Sarcoma,0.8576,Cardiac Biphasic Synovial Sarcoma,0.8456,Monophasic Synovial Sarcoma,0.8225,Lung Biphasic Synovial Sarcoma,0.8204,Poorly Differentiated Synovial Sarcoma,0.7854,Synovial Sarcoma,0.7819,Spindle Cell Synovial Sarcoma,0.7647,Metastatic Synovial Sarcoma,0.7458,Fibrous Synovial Sarcoma,0.7361,Adult Synovial Sarcoma,0.7339,Biphasic Mesothelioma,0.7258,Pleural Monophasic Synovial Sarcoma,0.7213,Localized Synovial Sarcoma,0.7145,Cardiac Monophasic Synovial Sarcoma,0.7141,Epithelial Synovial Sarcoma,0.7112,Undifferentiated Spindle Cell Sarcoma,0.7086,Sarcoma G2,0.7061,Spindle Cell Sarcoma,0.6990,Biphenotypic Sinonasal Sarcoma,0.6944,SYNOVIAL SARCOMA - BIPHASIC,True,True,True
SYNOVIAL SARCOMA - MONOPHASIC,Monophasic Synovial Sarcoma,1,2,Monophasic Synovial Sarcoma,0.9592,Pleural Monophasic Synovial Sarcoma,0.8399,Synovial Sarcoma,0.8160,Biphasic Synovial Sarcoma,0.8053,Localized Synovial Sarcoma,0.7996,Cardiac Monophasic Synovial Sarcoma,0.7833,Poorly Differentiated Synovial Sarcoma,0.7816,Adult Synovial Sarcoma,0.7731,Fibrous Synovial Sarcoma,0.7673,Spindle Cell Synovial Sarcoma,0.7672,Pleural Biphasic Synovial Sarcoma,0.7444,Lung Monophasic Synovial Sarcoma,0.7437,Pleural Synovial Sarcoma,0.7369,Unresectable Synovial Sarcoma,0.7361,Childhood Synovial Sarcoma,0.7263,Metastatic Synovial Sarcoma,0.7223,Benign Synovial Neoplasm,0.7213,Malignant Synovial Neoplasm,0.7204,Advanced Synovial Sarcoma,0.7193,Sarcoma NCI Grade 1,0.7146,SYNOVIAL SARCOMA - MONOPHASIC,True,True,True
SYNOVIAL_SARCOMA,Synovial Sarcoma,1,2,Synovial Sarcoma,0.9717,Fibrous Synovial Sarcoma,0.8774,Spindle Cell Synovial Sarcoma,0.8648,Adult Synovial Sarcoma,0.8496,Monophasic Synovial Sarcoma,0.8495,Epithelial Synovial Sarcoma,0.8449,Sarcoma,0.8380,Sinonasal Synovial Sarcoma,0.8295,Localized Synovial Sarcoma,0.8284,Poorly Differentiated Synovial Sarcoma,0.8284,Advanced Synovial Sarcoma,0.8248,Kidney Synovial Sarcoma,0.8229,Childhood Synovial Sarcoma,0.8214,Cardiac Synovial Sarcoma,0.8147,Metastatic Synovial Sarcoma,0.8125,Malignant Synovial Neoplasm,0.8108,Synovial Neoplasm,0.8031,Pericardial Synovial Sarcoma,0.7996,Unresectable Synovial Sarcoma,0.7983,Gastric Synovial Sarcoma,0.7940,SYNOVIAL_SARCOMA,True,True,True
SYSTEMIC MASTOCYTOSIS,Systemic Mastocytosis,1,2,Systemic Mastocytosis,1.0000,Mastocytosis,0.8943,Aggressive Systemic Mastocytosis,0.8675,Indolent Systemic Mastocytosis,0.8630,Malignant Mastocytosis,0.8551,Smoldering Systemic Mastocytosis,0.8193,Pure Cutaneous Mastocytosis,0.8052,Cutaneous Mastocytosis,0.7972,Diffuse Cutaneous Mastocytosis,0.7949,Bone Marrow Mastocytosis,0.7823,Mast Cell Sarcoma,0.7671,Systemic Mastocytosis with an Associated Myeloid Neoplasm,0.7621,Mast Cell Leukemia,0.7243,Mastocytoma,0.7242,Solitary Mastocytoma of the Skin,0.7141,Smoldering Systemic Mastocytosis with an Associated Myeloid Neoplasm,0.7023,Mast Cell Neoplasm,0.6977,Urticaria Pigmentosa/Maculopapular Cutaneous Mastocytosis,0.6870,Recurrent Malignant Mastocytosis,0.6826,Extracutaneous Mastocytoma,0.6812,SYSTEMIC MASTOCYTOSIS,True,True,True
