original_value,top1_match,top2_match,top3_match,top4_match,top5_match,top1_confidence,top1_quality,top1_rationale,top2_confidence,top2_quality,top2_rationale,top3_confidence,top3_quality,top3_rationale,top4_confidence,top4_quality,top4_rationale,top5_confidence,top5_quality,top5_rationale,best_match_rank,best_match_confidence,overall_assessment
PFA,Primary Amyloidosis,Lung Fetal Adenocarcinoma,Proliferative Fasciitis,Familial Adenomatous Polyposis Associated Medulloblastoma,Fibrosarcoma,0.2,poor,No key term overlap - likely poor match,0.15,poor,No key term overlap - likely poor match,0.1,poor,No key term overlap - likely poor match,0.05,poor,No key term overlap - likely poor match,0.0,poor,No key term overlap - likely poor match,1,0.2,low_confidence
PFB,"Posterior Fossa Ependymoma, Group B (PFB)",Familial Adenomatous Polyposis Associated Medulloblastoma,Proliferative Fasciitis,Peripheral Neuroblastoma,Prostate Follicular Lymphoma,0.95,excellent,All key terms present (1/1 terms matched),0.15,poor,No key term overlap - likely poor match,0.1,poor,No key term overlap - likely poor match,0.05,poor,No key term overlap - likely poor match,0.0,poor,No key term overlap - likely poor match,1,0.95,high_confidence
PH+-ALL,"Myeloid Leukemia, Philadelphia-Positive",CALLA Positive Lymphoblastic Leukemia,"Myeloid Leukemia, Philadelphia-Negative",AHL Amyloidosis,Pre T-ALL,0.2,poor,No key term overlap - likely poor match,0.15,poor,No key term overlap - likely poor match,0.1,poor,No key term overlap - likely poor match,0.05,poor,No key term overlap - likely poor match,0.75,good,All key terms present (1/1 terms matched),5,0.75,low_confidence
PH-LIKEALL,Prolymphocytic Leukemia,"Myeloid Leukemia, Philadelphia-Positive",Unfavorable Hodgkin Lymphoma,B-Cell Prolymphocytic Leukemia,Favorable Hodgkin Lymphoma,0.2,poor,No key term overlap - likely poor match,0.15,poor,No key term overlap - likely poor match,0.1,poor,No key term overlap - likely poor match,0.05,poor,No key term overlap - likely poor match,0.0,poor,No key term overlap - likely poor match,1,0.2,low_confidence
PHEOCHROMOCYTOMA,Adrenal Gland Pheochromocytoma,Regional Adrenal Gland Pheochromocytoma,Adrenal Gland Composite Pheochromocytoma,Advanced Adrenal Gland Pheochromocytoma,Hereditary Adrenal Gland Pheochromocytoma,0.95,excellent,All key terms present (1/1 terms matched),0.9,excellent,All key terms present (1/1 terms matched),0.85,excellent,All key terms present (1/1 terms matched),0.8,good,All key terms present (1/1 terms matched),0.75,good,All key terms present (1/1 terms matched),1,0.95,high_confidence
PHYLLODES,Phyllodes Tumor,Benign Phyllodes Tumor,Malignant Phyllodes Tumor,Prostate Phyllodes Tumor,Breast Phyllodes Tumor,0.95,excellent,All key terms present (1/1 terms matched),0.9,excellent,All key terms present (1/1 terms matched),0.85,excellent,All key terms present (1/1 terms matched),0.8,good,All key terms present (1/1 terms matched),0.75,good,All key terms present (1/1 terms matched),1,0.95,high_confidence
PILOCYTIC ASTROCYTOMA,Pilocytic Astrocytoma,Brain Pilocytic Astrocytoma,Adult Pilocytic Astrocytoma,Juvenile Pilocytic Astrocytoma,Childhood Pilocytic Astrocytoma,1.0,excellent,Exact match,0.9,excellent,All key terms present (2/2 terms matched),0.85,excellent,All key terms present (2/2 terms matched),0.8,good,All key terms present (2/2 terms matched),0.75,good,All key terms present (2/2 terms matched),1,1.0,high_confidence
PILOMATRIX CARCINOMA,Pilomatrical Carcinoma,Pilomatricoma,Childhood Pilomatricoma,Malignant Proliferating Pilar Tumor,Sebaceous Carcinoma,0.55,moderate,1/2 key terms matched; 43.3% term overlap,0.15,poor,No key term overlap - likely poor match,0.1,poor,No key term overlap - likely poor match,0.05,poor,No key term overlap - likely poor match,0.35,fair,1/2 key terms matched; 43.3% term overlap,1,0.55,moderate_confidence
PILOMYXOID ASTROCYTOMA,Pilomyxoid Astrocytoma,Childhood Pilomyxoid Astrocytoma,Pilocytic Astrocytoma,High Grade Astrocytoma with Piloid Features,Brain Pilocytic Astrocytoma,1.0,excellent,Exact match,0.9,excellent,All key terms present (2/2 terms matched),0.45,fair,1/2 key terms matched; 43.3% term overlap,0.2,poor,1/2 key terms matched; 36.7% term overlap,0.35,fair,1/2 key terms matched; 40.0% term overlap,1,1.0,high_confidence
PINEAL GERM CELL TUMOR,Pineal Region Germ Cell Tumor,Malignant Pineal Region Germ Cell Tumor,Pineal Region Germinoma,Pineal Parenchymal Cell Neoplasm,Childhood Pineal Parenchymal Cell Neoplasm,0.95,excellent,All key terms present (4/4 terms matched),0.9,excellent,All key terms present (4/4 terms matched),0.25,poor,1/4 key terms matched; 21.7% term overlap,0.4,fair,2/4 key terms matched; 43.3% term overlap,0.35,fair,2/4 key terms matched; 41.4% term overlap,1,0.95,high_confidence
PINEAL PARENCHYMAL TUMOR OF INTERMEDIATE DIFFERENTIATION,Pineal Parenchymal Tumor of Intermediate Differentiation,Childhood Pineal Parenchymal Tumor of Intermediate Differentiation,Pineal Parenchymal Cell Neoplasm,Childhood Pineal Parenchymal Cell Neoplasm,Papillary Tumor of the Pineal Region,1.0,excellent,Exact match,0.9,excellent,All key terms present (5/5 terms matched),0.25,poor,2/5 key terms matched; 35.4% term overlap,0.2,poor,2/5 key terms matched; 34.0% term overlap,0.15,poor,2/5 key terms matched; 35.4% term overlap,1,1.0,high_confidence
PINEAL TUMOR,Pineal Region Neoplasm,Pineal Parenchymal Cell Neoplasm,Pineal Gland Astrocytoma,Childhood Pineal Parenchymal Cell Neoplasm,Papillary Tumor of the Pineal Region,0.55,moderate,1/2 key terms matched; 40.0% term overlap,0.3,fair,1/2 key terms matched; 38.0% term overlap,0.45,fair,1/2 key terms matched; 40.0% term overlap,0.2,poor,1/2 key terms matched; 36.7% term overlap,0.75,good,All key terms present (2/2 terms matched),5,0.75,moderate_confidence
PINEOBLASTOMA,Pineoblastoma,Childhood Pineoblastoma,Adult Pineoblastoma,Pineoblastoma Molecular Subtypes,Pineocytoma,1.0,excellent,Exact match,0.9,excellent,All key terms present (1/1 terms matched),0.85,excellent,All key terms present (1/1 terms matched),0.8,good,All key terms present (1/1 terms matched),0.0,poor,No key term overlap - likely poor match,1,1.0,high_confidence
PITUICYTOMA,Pituicytoma,Ependymal Pituicytoma,Sellar Neurocytoma,Pituitary Gland Neoplasm,Sellar Gangliocytoma,1.0,excellent,Exact match,0.9,excellent,All key terms present (1/1 terms matched),0.1,poor,No key term overlap - likely poor match,0.05,poor,No key term overlap - likely poor match,0.0,poor,No key term overlap - likely poor match,1,1.0,high_confidence
PITUITARY ADENOMA,Anterior Pituitary Gland Neoplasm,Pituitary Gland Neoplasm,Adenoma,Pituitary Gland Acidophil Adenoma,Parathyroid Gland Adenoma,0.35,fair,1/2 key terms matched; 38.0% term overlap,0.5,moderate,1/2 key terms matched; 40.0% term overlap,0.45,fair,1/2 key terms matched; 50.0% term overlap,0.8,good,All key terms present (2/2 terms matched),0.35,fair,1/2 key terms matched; 40.0% term overlap,4,0.8,low_confidence
PLASMA CELL MYELOMA,Plasmacytoma,Plasma Cell Neoplasm,Multiple Myeloma,Plasma Cell Leukemia,Solitary Plasmacytoma,0.2,poor,No key term overlap - likely poor match,0.65,moderate,2/3 key terms matched; 60.0% term overlap,0.25,poor,1/3 key terms matched; 30.0% term overlap,0.55,moderate,2/3 key terms matched; 60.0% term overlap,0.0,poor,No key term overlap - likely poor match,2,0.65,low_confidence
PLASMACYTOMA,Plasmacytoma,Plasma Cell Neoplasm,Solitary Plasmacytoma,Cutaneous Plasmacytoma,Plasma Cell Leukemia,1.0,excellent,Exact match,0.15,poor,No key term overlap - likely poor match,0.85,excellent,All key terms present (1/1 terms matched),0.8,good,All key terms present (1/1 terms matched),0.0,poor,No key term overlap - likely poor match,1,1.0,high_confidence
PLASMA_CELL_LEUKEMIA,Plasma Cell Leukemia,Plasma Cell Neoplasm,Secondary Plasma Cell Leukemia,Plasmacytoma,Plasmablastic Lymphoma,0.2,poor,No key term overlap - likely poor match,0.15,poor,No key term overlap - likely poor match,0.1,poor,No key term overlap - likely poor match,0.05,poor,No key term overlap - likely poor match,0.0,poor,No key term overlap - likely poor match,1,0.2,low_confidence
PLASMA_CELL_MYELOMA,Plasma Cell Neoplasm,Plasmacytoma,Multiple Myeloma,Plasma Cell Myeloma-Induced Bone Disease,Solitary Plasmacytoma,0.2,poor,No key term overlap - likely poor match,0.15,poor,No key term overlap - likely poor match,0.1,poor,No key term overlap - likely poor match,0.05,poor,No key term overlap - likely poor match,0.0,poor,No key term overlap - likely poor match,1,0.2,low_confidence
PLEOMORPHIC 'MFH' / UNDIFFERENTIATED PLEOMORPHIC SARCOMA,Undifferentiated Pleomorphic Sarcoma,Undifferentiated High Grade Pleomorphic Sarcoma of Bone,Metastatic Undifferentiated Pleomorphic Sarcoma,Advanced Undifferentiated Pleomorphic Sarcoma,Adult Undifferentiated Pleomorphic Sarcoma,0.7,good,3/4 key terms matched; 75.0% term overlap,0.65,moderate,3/4 key terms matched; 62.1% term overlap,0.6,moderate,3/4 key terms matched; 69.0% term overlap,0.55,moderate,3/4 key terms matched; 69.0% term overlap,0.5,fair,3/4 key terms matched; 69.0% term overlap,1,0.7,good_confidence
PLEOMORPHIC CARCINOMA OF THE LUNG,Lung Pleomorphic Carcinoma,Pleomorphic Carcinoma,Lung Pleomorphic Adenoma,Breast Pleomorphic Carcinoma,Lung Spindle Cell Carcinoma,0.95,excellent,All key terms present (3/3 terms matched),0.65,moderate,2/3 key terms matched; 66.7% term overlap,0.6,moderate,2/3 key terms matched; 60.0% term overlap,0.55,moderate,2/3 key terms matched; 60.0% term overlap,0.35,fair,2/3 key terms matched; 56.0% term overlap,1,0.95,high_confidence
PLEOMORPHIC HEPATOCELLULAR CARCINOMA,Pleomorphic Hepatocellular Carcinoma,Adult Pleomorphic Hepatocellular Carcinoma,Poorly Differentiated Hepatocellular Carcinoma,Sarcomatoid Hepatocellular Carcinoma,Pleomorphic Carcinoma,1.0,excellent,Exact match,0.9,excellent,All key terms present (3/3 terms matched),0.45,fair,2/3 key terms matched; 56.0% term overlap,0.55,moderate,2/3 key terms matched; 60.0% term overlap,0.5,fair,2/3 key terms matched; 66.7% term overlap,1,1.0,high_confidence
PLEOMORPHIC LIPOSARCOMA,Pleomorphic Liposarcoma,Myxoid Pleomorphic Liposarcoma,Pleomorphic Lipoma,Advanced Pleomorphic Liposarcoma,Skin Pleomorphic Liposarcoma,1.0,excellent,Exact match,0.9,excellent,All key terms present (2/2 terms matched),0.45,fair,1/2 key terms matched; 43.3% term overlap,0.8,good,All key terms present (2/2 terms matched),0.75,good,All key terms present (2/2 terms matched),1,1.0,high_confidence
PLEOMORPHIC RHABDOMYOSARCOMA,Pleomorphic Rhabdomyosarcoma,Adult Pleomorphic Rhabdomyosarcoma,Childhood Pleomorphic Rhabdomyosarcoma,Pleomorphic Liposarcoma,Undifferentiated Pleomorphic Sarcoma,1.0,excellent,Exact match,0.9,excellent,All key terms present (2/2 terms matched),0.85,excellent,All key terms present (2/2 terms matched),0.4,fair,1/2 key terms matched; 43.3% term overlap,0.35,fair,1/2 key terms matched; 40.0% term overlap,1,1.0,high_confidence
PLEOMORPHIC SARCOMA,Undifferentiated Pleomorphic Sarcoma,Pleomorphic Rhabdomyosarcoma,Pleomorphic Liposarcoma,Pleomorphic Fibroma,Pleomorphic Carcinoma,0.95,excellent,All key terms present (2/2 terms matched),0.5,moderate,1/2 key terms matched; 43.3% term overlap,0.45,fair,1/2 key terms matched; 43.3% term overlap,0.4,fair,1/2 key terms matched; 43.3% term overlap,0.35,fair,1/2 key terms matched; 43.3% term overlap,1,0.95,high_confidence
PLEOMORPHIC XANTHOASTROCYTOMA,Pleomorphic Xanthoastrocytoma,Anaplastic Pleomorphic Xanthoastrocytoma,Childhood Pleomorphic Xanthoastrocytoma,Temporal Lobe Pleomorphic Xanthoastrocytoma,Recurrent Anaplastic Pleomorphic Xanthoastrocytoma,1.0,excellent,Exact match,0.9,excellent,All key terms present (2/2 terms matched),0.85,excellent,All key terms present (2/2 terms matched),0.8,good,All key terms present (2/2 terms matched),0.75,good,All key terms present (2/2 terms matched),1,1.0,high_confidence
PLEOMORPHIC_SARCOMA,Undifferentiated Pleomorphic Sarcoma,Pleomorphic Rhabdomyosarcoma,Pleomorphic Liposarcoma,Undifferentiated High Grade Pleomorphic Sarcoma of Bone,Pleomorphic Fibroma,0.2,poor,No key term overlap - likely poor match,0.15,poor,No key term overlap - likely poor match,0.1,poor,No key term overlap - likely poor match,0.05,poor,No key term overlap - likely poor match,0.0,poor,No key term overlap - likely poor match,1,0.2,low_confidence
"PLEURAL CANCER, NOS",Pleural Carcinomatosis,Pleural Neoplasm,Malignant Pleural Neoplasm,Pleural Lymphoma,Malignant Lung and Pleural Neoplasm,0.55,moderate,1/2 key terms matched; 43.3% term overlap,0.5,moderate,1/2 key terms matched; 43.3% term overlap,0.45,fair,1/2 key terms matched; 40.0% term overlap,0.4,fair,1/2 key terms matched; 43.3% term overlap,0.15,poor,1/2 key terms matched; 38.0% term overlap,1,0.55,moderate_confidence
PLEURAL MESOTHELIOMA,Pleural Malignant Mesothelioma,Pleural Epithelioid Mesothelioma,Pleural Mesothelial Neoplasm,Localized Pleural Malignant Mesothelioma,Advanced Pleural Malignant Mesothelioma,0.95,excellent,All key terms present (2/2 terms matched),0.9,excellent,All key terms present (2/2 terms matched),0.45,fair,1/2 key terms matched; 40.0% term overlap,0.8,good,All key terms present (2/2 terms matched),0.75,good,All key terms present (2/2 terms matched),1,0.95,high_confidence
"PLEURAL MESOTHELIOMA, BIPHASIC TYPE",Pleural Biphasic Mesothelioma,Peritoneal Biphasic Mesothelioma,Biphasic Mesothelioma,Unresectable Pleural Biphasic Mesothelioma,Pleural Malignant Mesothelioma,0.7,good,3/4 key terms matched; 75.0% term overlap,0.5,moderate,2/4 key terms matched; 46.0% term overlap,0.45,fair,2/4 key terms matched; 50.0% term overlap,0.55,moderate,3/4 key terms matched; 69.0% term overlap,0.35,fair,2/4 key terms matched; 46.0% term overlap,1,0.7,good_confidence
"PLEURAL MESOTHELIOMA, EPITHELIOID TYPE",Pleural Epithelioid Mesothelioma,Peritoneal Epithelioid Mesothelioma,Epithelioid Mesothelioma,Pleural Malignant Mesothelioma,Pleural Proximal-Type Epithelioid Sarcoma,0.7,good,3/4 key terms matched; 75.0% term overlap,0.5,moderate,2/4 key terms matched; 46.0% term overlap,0.45,fair,2/4 key terms matched; 50.0% term overlap,0.4,fair,2/4 key terms matched; 46.0% term overlap,0.5,fair,3/4 key terms matched; 65.0% term overlap,1,0.7,good_confidence
"PLEURAL MESOTHELIOMA, SARCOMATOID TYPE",Pleural Sarcomatoid Mesothelioma,Peritoneal Sarcomatoid Mesothelioma,Sarcomatoid Mesothelioma,Pleural Malignant Mesothelioma,Pleural Epithelioid Mesothelioma,0.7,good,3/4 key terms matched; 75.0% term overlap,0.5,moderate,2/4 key terms matched; 46.0% term overlap,0.45,fair,2/4 key terms matched; 50.0% term overlap,0.4,fair,2/4 key terms matched; 46.0% term overlap,0.35,fair,2/4 key terms matched; 46.0% term overlap,1,0.7,good_confidence
PLEUROPULMONARY BLASTOMA,Pleuropulmonary Blastoma,Type I Pleuropulmonary Blastoma,Type II Pleuropulmonary Blastoma,Type III Pleuropulmonary Blastoma,Pulmonary Blastoma,1.0,excellent,Exact match,0.9,excellent,All key terms present (2/2 terms matched),0.85,excellent,All key terms present (2/2 terms matched),0.8,good,All key terms present (2/2 terms matched),0.35,fair,1/2 key terms matched; 43.3% term overlap,1,1.0,high_confidence
PLEUROPULMONARY BLASTOMA PPB,Pleuropulmonary Blastoma,Type I Pleuropulmonary Blastoma,Type II Pleuropulmonary Blastoma,Type III Pleuropulmonary Blastoma,Biphasic Pulmonary Blastoma,0.7,good,2/3 key terms matched; 66.7% term overlap,0.65,moderate,2/3 key terms matched; 60.0% term overlap,0.6,moderate,2/3 key terms matched; 60.0% term overlap,0.4,fair,2/3 key terms matched; 56.0% term overlap,0.15,poor,1/3 key terms matched; 28.0% term overlap,1,0.7,good_confidence
PLEUROPULMORY BLASTOMA PPB,Pleuropulmonary Blastoma,Type I Pleuropulmonary Blastoma,Type II Pleuropulmonary Blastoma,Type III Pleuropulmonary Blastoma,Pulmonary Blastoma,0.35,fair,1/3 key terms matched; 30.0% term overlap,0.3,fair,1/3 key terms matched; 28.0% term overlap,0.25,poor,1/3 key terms matched; 28.0% term overlap,0.2,poor,1/3 key terms matched; 26.7% term overlap,0.15,poor,1/3 key terms matched; 30.0% term overlap,1,0.35,low_confidence
PLEXIFORM FIBROHISTIOCYTIC TUMOR,Plexiform Fibrohistiocytic Tumor,Childhood Plexiform Fibrohistiocytic Tumor,Chest Wall Plexiform Fibrohistiocytic Tumor,Plexiform Neurofibroma,Plexiform Schwannoma,1.0,excellent,Exact match,0.9,excellent,All key terms present (3/3 terms matched),0.85,excellent,All key terms present (3/3 terms matched),0.2,poor,1/3 key terms matched; 30.0% term overlap,0.15,poor,1/3 key terms matched; 30.0% term overlap,1,1.0,high_confidence
PLEXIFORM NEUROFIBROMA,Plexiform Neurofibroma,Plexiform Schwannoma,Neurofibroma,Cutaneous Neurofibroma,Melanotic Neurofibroma,1.0,excellent,Exact match,0.5,moderate,1/2 key terms matched; 43.3% term overlap,0.45,fair,1/2 key terms matched; 50.0% term overlap,0.4,fair,1/2 key terms matched; 43.3% term overlap,0.35,fair,1/2 key terms matched; 43.3% term overlap,1,1.0,high_confidence
PLEXIFORM SCHWANNOMA,Plexiform Schwannoma,Plexiform Neurofibroma,Schwannoma,Peripheral Nerve Schwannoma,Conventional Schwannoma,1.0,excellent,Exact match,0.5,moderate,1/2 key terms matched; 43.3% term overlap,0.45,fair,1/2 key terms matched; 50.0% term overlap,0.4,fair,1/2 key terms matched; 40.0% term overlap,0.35,fair,1/2 key terms matched; 43.3% term overlap,1,1.0,high_confidence
PLMESO,Primary Effusion Lymphoma,Melanoma,Lymphoma,Composite Lymphoma,Branchioma,0.2,poor,No key term overlap - likely poor match,0.15,poor,No key term overlap - likely poor match,0.1,poor,No key term overlap - likely poor match,0.05,poor,No key term overlap - likely poor match,0.0,poor,No key term overlap - likely poor match,1,0.2,low_confidence
PNET,Neuroendocrine Tumor,Prostate Neuroendocrine Tumor,Peripheral Primitive Neuroectodermal Tumor,Pancreatic Neuroendocrine Tumor,Neuroendocrine Neoplasm,0.2,poor,No key term overlap - likely poor match,0.15,poor,No key term overlap - likely poor match,0.1,poor,No key term overlap - likely poor match,0.05,poor,No key term overlap - likely poor match,0.0,poor,No key term overlap - likely poor match,1,0.2,low_confidence
POLE ULTRA-MUTATED,POLE-Ultramutated Endometrial Endometrioid Adenocarcinoma,Melanoma of Unknown Primary,Neoplasm of Uncertain Malignant Potential,Metastatic Malignant Neoplasm of Unknown Primary,Papillary Urothelial Neoplasm of Low Malignant Potential,0.35,fair,1/3 key terms matched; 25.7% term overlap,0.15,poor,No key term overlap - likely poor match,0.1,poor,No key term overlap - likely poor match,0.05,poor,No key term overlap - likely poor match,0.0,poor,No key term overlap - likely poor match,1,0.35,low_confidence
POLYCYTHEMIA VERA,Polycythemia Vera,"Polycythemia Vera, Polycythemic Phase","Polycythemia Vera, Post-Polycythemic Myelofibrosis Phase",Essential Thrombocythemia,Erythroleukemia,1.0,excellent,Exact match,0.9,excellent,All key terms present (2/2 terms matched),0.85,excellent,All key terms present (2/2 terms matched),0.05,poor,No key term overlap - likely poor match,0.0,poor,No key term overlap - likely poor match,1,1.0,high_confidence
POORLY DIFFERENTIATED ONCOCYTIC CARCINOMA,Oncocytic Adenocarcinoma,Thyroid Gland Oncocytic Carcinoma,Oncocytic Neoplasm,Oncocytic Adenoma,Oncocytic Variant Thyroid Gland Papillary Carcinoma,0.35,fair,1/4 key terms matched; 23.0% term overlap,0.5,moderate,2/4 key terms matched; 43.3% term overlap,0.25,poor,1/4 key terms matched; 23.0% term overlap,0.2,poor,1/4 key terms matched; 23.0% term overlap,0.35,fair,2/4 key terms matched; 40.0% term overlap,2,0.5,low_confidence
POORLY DIFFERENTIATED OR PLEOMORPHIC OR EPITHELIOID LEIOMYOSARCOMA,Pleomorphic Leiomyosarcoma,Dedifferentiated Leiomyosarcoma,Epithelioid Leiomyosarcoma,Well Differentiated Leiomyosarcoma,Myxoid Leiomyosarcoma,0.55,moderate,2/5 key terms matched; 40.0% term overlap,0.15,poor,1/5 key terms matched; 18.7% term overlap,0.45,fair,2/5 key terms matched; 40.0% term overlap,0.2,poor,2/5 key terms matched; 37.3% term overlap,0.0,poor,1/5 key terms matched; 18.7% term overlap,1,0.55,moderate_confidence
POORLY DIFFERENTIATED THYROID CANCER,Poorly Differentiated Thyroid Gland Carcinoma,Differentiated Thyroid Gland Carcinoma,Differentiated High Grade Thyroid Gland Carcinoma,Metastatic Poorly Differentiated Thyroid Gland Carcinoma,Poorly Differentiated Malignant Neoplasm,0.7,good,3/4 key terms matched; 65.0% term overlap,0.5,moderate,2/4 key terms matched; 43.3% term overlap,0.45,fair,2/4 key terms matched; 40.0% term overlap,0.55,moderate,3/4 key terms matched; 62.1% term overlap,0.35,fair,2/4 key terms matched; 43.3% term overlap,1,0.7,good_confidence
POORLY DIFFERENTIATED THYROID CARCINOMA,Poorly Differentiated Thyroid Gland Carcinoma,Differentiated Thyroid Gland Carcinoma,Metastatic Poorly Differentiated Thyroid Gland Carcinoma,Differentiated High Grade Thyroid Gland Carcinoma,Poorly Differentiated Malignant Neoplasm,0.95,excellent,All key terms present (4/4 terms matched),0.65,moderate,3/4 key terms matched; 69.0% term overlap,0.85,excellent,All key terms present (4/4 terms matched),0.55,moderate,3/4 key terms matched; 62.1% term overlap,0.35,fair,2/4 key terms matched; 43.3% term overlap,1,0.95,high_confidence
POORLY_COHESIVE,Gastric Poorly Cohesive Adenocarcinoma,Colorectal Poorly Cohesive Adenocarcinoma,Pancreatic Poorly Cohesive Adenocarcinoma,Poorly Differentiated Malignant Neoplasm,Pleomorphic Carcinoma,0.2,poor,No key term overlap - likely poor match,0.15,poor,No key term overlap - likely poor match,0.1,poor,No key term overlap - likely poor match,0.05,poor,No key term overlap - likely poor match,0.0,poor,No key term overlap - likely poor match,1,0.2,low_confidence
POROCARCINOMA/SPIROADENOCARCINOMA,Porocarcinoma,Spiradenocarcinoma,Spiradenocylindrocarcinoma,Serous Cystadenocarcinoma,Cystadenocarcinoma,0.55,moderate,1/2 key terms matched; 50.0% term overlap,0.15,poor,No key term overlap - likely poor match,0.1,poor,No key term overlap - likely poor match,0.05,poor,No key term overlap - likely poor match,0.0,poor,No key term overlap - likely poor match,1,0.55,moderate_confidence
PRAD,Diffuse Retinoblastoma,Differentiated Retinoblastoma,Refractory Primary Amyloidosis,Refractory Anemia,Refractory Pancreatic Ductal Adenocarcinoma,0.2,poor,No key term overlap - likely poor match,0.15,poor,No key term overlap - likely poor match,0.1,poor,No key term overlap - likely poor match,0.05,poor,No key term overlap - likely poor match,0.0,poor,No key term overlap - likely poor match,1,0.2,low_confidence
PRE-T,Pre T-ALL,Pre-Pre-B Acute Lymphoblastic Leukemia,PRETEXT I Hepatoblastoma,Hepatoblastoma by PRETEXT Stage,Localized PRETEX I Hepatoblastoma,0.95,excellent,All key terms present (1/1 terms matched),0.9,excellent,All key terms present (1/1 terms matched),0.1,poor,No key term overlap - likely poor match,0.05,poor,No key term overlap - likely poor match,0.0,poor,No key term overlap - likely poor match,1,0.95,high_confidence
PRIMARY CNS MELANOMA,Intracranial Melanoma,Metastatic Primary Malignant Central Nervous System Neoplasm,Metastatic Melanoma in the Central Nervous System,Primary Central Nervous System Neoplasm,Spinal Cord Melanoma,0.35,fair,1/3 key terms matched; 30.0% term overlap,0.3,fair,1/3 key terms matched; 24.4% term overlap,0.25,poor,1/3 key terms matched; 25.7% term overlap,0.2,poor,1/3 key terms matched; 25.7% term overlap,0.15,poor,1/3 key terms matched; 28.0% term overlap,1,0.35,low_confidence
PRIMARY CUTANEOUS CD30 POSITIVE T-CELL LYMPHOPROLIFERATIVE DISORDERS,Primary Cutaneous CD30-Positive T-Cell Lymphoproliferative Disorder,Primary CD30-Positive T-Cell Lymphoproliferative Disorder,Borderline Primary Cutaneous CD30-Positive T-Cell Lymphoproliferative Disorder,Primary Oral Cavity CD30-Positive T-Cell Lymphoproliferative Disorder,Primary Cutaneous T-Cell Non-Hodgkin Lymphoma,0.85,excellent,6/7 key terms matched; 81.4% term overlap,0.65,moderate,5/7 key terms matched; 67.9% term overlap,0.6,moderate,6/7 key terms matched; 78.1% term overlap,0.55,moderate,5/7 key terms matched; 62.9% term overlap,0.15,poor,3/7 key terms matched; 37.7% term overlap,1,0.85,high_confidence
PRIMARY CUTANEOUS CD8 POSITIVE AGGRESSIVE EPIDERMOTROPIC CYTOTOXIC T-CELL LYMPHOMA,Primary Cutaneous CD8-Positive Aggressive Epidermotropic Cytotoxic T-Cell Lymphoma,Refractory Primary Cutaneous CD8-Positive Aggressive Epidermotropic Cytotoxic T-Cell Lymphoma,Recurrent Primary Cutaneous CD8-Positive Aggressive Epidermotropic Cytotoxic T-Cell Lymphoma,Primary Cutaneous Acral CD8-Positive T-Cell Lymphoproliferative Disorder,Primary Cutaneous T-Cell Non-Hodgkin Lymphoma,1.0,excellent,Exact match,0.9,excellent,All key terms present (9/9 terms matched),0.85,excellent,All key terms present (9/9 terms matched),0.4,fair,5/9 key terms matched; 50.0% term overlap,0.35,fair,4/9 key terms matched; 41.2% term overlap,1,1.0,high_confidence
PRIMARY DLBCL OF THE CNS,Primary Diffuse Large B-Cell Lymphoma of the Central Nervous System,Primary Cerebral Diffuse Large B-Cell Lymphoma,AIDS-Related Primary Diffuse Large B-Cell Lymphoma of the Central Nervous System,Primary Low Grade B-Cell Dural Lymphoma,Recurrent Primary Diffuse Large B-Cell Lymphoma of the Central Nervous System,0.35,fair,1/3 key terms matched; 24.0% term overlap,0.3,fair,1/3 key terms matched; 25.0% term overlap,0.25,poor,1/3 key terms matched; 23.3% term overlap,0.2,poor,1/3 key terms matched; 25.0% term overlap,0.15,poor,1/3 key terms matched; 23.6% term overlap,1,0.35,low_confidence
PRIMARY EFFUSION LYMPHOMA,Primary Effusion Lymphoma,Peritoneal Primary Effusion Lymphoma,Pleural Primary Effusion Lymphoma,Pericardial Primary Effusion Lymphoma,Extracavitary Primary Effusion Lymphoma,1.0,excellent,Exact match,0.9,excellent,All key terms present (3/3 terms matched),0.85,excellent,All key terms present (3/3 terms matched),0.8,good,All key terms present (3/3 terms matched),0.75,good,All key terms present (3/3 terms matched),1,1.0,high_confidence
PRIMARY MEDIASTINAL THYMIC DLBCL,Primary Mediastinal Large B-Cell Lymphoma,Mediastinal Thymoma,Mediastinal Lymphoma,Thymic Lymphoma,Childhood Primary Mediastinal Large B-Cell Lymphoma,0.55,moderate,2/4 key terms matched; 41.4% term overlap,0.3,fair,1/4 key terms matched; 23.0% term overlap,0.25,poor,1/4 key terms matched; 23.0% term overlap,0.2,poor,1/4 key terms matched; 23.0% term overlap,0.35,fair,2/4 key terms matched; 40.0% term overlap,1,0.55,moderate_confidence
PRIMARY MEDIASTINAL THYMIC LARGE B-CELL LYMPHOMA,Primary Mediastinal Large B-Cell Lymphoma,Childhood Primary Mediastinal Large B-Cell Lymphoma,Primary Mediastinal Large B-Cell Lymphoma by Ann Arbor Stage,Mediastinal Lymphoma,Mediastinal T Lymphoblastic Lymphoma,0.85,excellent,5/6 key terms matched; 83.3% term overlap,0.65,moderate,5/6 key terms matched; 78.6% term overlap,0.6,moderate,5/6 key terms matched; 72.2% term overlap,0.2,poor,2/6 key terms matched; 33.3% term overlap,0.15,poor,2/6 key terms matched; 31.4% term overlap,1,0.85,high_confidence
