original_value,curated_ontology,match_level,stage,top1_match,top1_score,top2_match,top2_score,top3_match,top3_score,top4_match,top4_score,top5_match,top5_score,top1_accuracy,top3_accuracy,top5_accuracy
PROSTATE ADENOCARCINOMA ACINAR TYPE,Prostate Acinar Adenocarcinoma,1,2,Prostate Acinar Adenocarcinoma,0.9660,"Prostate Acinar Adenocarcinoma, Atrophic Pattern",0.8828,Lung Acinar Adenocarcinoma,0.8444,Prostate Acinar Oncocytic Adenocarcinoma,0.8444,Prostate Acinar Mucinous Adenocarcinoma,0.8222,True,True,True
"PROSTATE ADENOCARCINOMA, NOT OTHERWISED SPECIFIED, WITH DUCTAL FEATUES",Prostate Ductal Adenocarcinoma,1,2,Prostate Ductal Adenocarcinoma,0.7843,"Prostate Ductal Adenocarcinoma, Papillary Pattern",0.7614,Prostate Acinar Foamy Gland Adenocarcinoma,0.7137,Pancreatic Ductal Adenocarcinoma,0.7126,"Prostate Ductal Adenocarcinoma, Solid Pattern",0.7116,True,True,True
"PROSTATE ADENOCARCINOMA, OTHER SUBTYPE",Prostate Adenocarcinoma,1,2,Prostate Adenocarcinoma,0.7941,Prostate Adenocarcinoma without Neuroendocrine Differentiation,0.7715,Poorly Differentiated Prostate Adenocarcinoma,0.7373,Metastatic Prostate Adenocarcinoma,0.7275,Advanced Prostate Adenocarcinoma,0.7254,True,True,True
PROSTATE CANCER,Prostate Carcinoma,1,2,Prostate Carcinoma,0.9581,Prostate Adenocarcinoma,0.8904,Malignant Prostate Neoplasm,0.8763,Prostate Neoplasm,0.8734,Advanced Prostate Carcinoma,0.8420,True,True,True
"PROSTATE CANCER, NOS",Prostate Carcinoma,1,2,Prostate Carcinoma,0.9101,Malignant Prostate Neoplasm,0.8476,Prostate Adenocarcinoma,0.8354,Prostate Neoplasm,0.8222,Advanced Prostate Carcinoma,0.8038,True,True,True
PROSTATE NEUROENDOCRINE CARCINOMA,Prostate Neuroendocrine Carcinoma,1,2,Prostate Neuroendocrine Carcinoma,1.0000,Prostate Small Cell Neuroendocrine Carcinoma,0.8792,Prostate Large Cell Neuroendocrine Carcinoma,0.8755,Metastatic Prostate Neuroendocrine Carcinoma,0.8574,Prostate Neuroendocrine Tumor,0.8543,True,True,True
PROSTATE SMALL CELL CARCINOMA,Prostate Small Cell Neuroendocrine Carcinoma,1,2,Prostate Small Cell Neuroendocrine Carcinoma,0.8960,Advanced Prostate Small Cell Neuroendocrine Carcinoma,0.8199,Metastatic Prostate Small Cell Neuroendocrine Carcinoma,0.7813,Prostate Squamous Cell Carcinoma,0.7700,Small Cell Adenocarcinoma,0.7511,True,True,True
PROSTATE SQUAMOUS CELL CARCINOMA,Prostate Squamous Cell Carcinoma,1,2,Prostate Squamous Cell Carcinoma,1.0000,Penile Squamous Cell Carcinoma,0.8013,Prostate Carcinoma,0.7957,Prostate Adenosquamous Carcinoma,0.7723,Penile Clear Cell Squamous Cell Carcinoma,0.7695,True,True,True
PROSTATE_ADENOCARCINOMA,Prostate Adenocarcinoma,1,2,Prostate Adenocarcinoma,0.9610,Prostate Carcinoma,0.8676,Advanced Prostate Adenocarcinoma,0.8472,Poorly Differentiated Prostate Adenocarcinoma,0.8439,Aggressive Prostate Adenocarcinoma,0.8433,True,True,True
PROSTATE_CANCER,Prostate Carcinoma,1,2,Prostate Carcinoma,0.8934,Prostate Neoplasm,0.8296,Prostate Adenocarcinoma,0.8238,Malignant Prostate Neoplasm,0.8236,Advanced Prostate Carcinoma,0.7687,True,True,True
PROSTATE_SMALL_CELL,Prostate Small Cell Neuroendocrine Carcinoma,1,2,Prostate Small Cell Neuroendocrine Carcinoma,0.7938,Advanced Prostate Small Cell Neuroendocrine Carcinoma,0.7416,Prostate Undifferentiated Carcinoma,0.7092,Small Cell Adenocarcinoma,0.7066,Metastatic Prostate Small Cell Neuroendocrine Carcinoma,0.6896,True,True,True
PROXIMAL-TYPE EPITHELIOID SARCOMA,Proximal-Type Epithelioid Sarcoma,1,2,Proximal-Type Epithelioid Sarcoma,1.0000,Distal-Type Epithelioid Sarcoma,0.8681,Pleural Proximal-Type Epithelioid Sarcoma,0.8218,Epithelioid Sarcoma,0.8170,Localized Epithelioid Sarcoma,0.7916,True,True,True
PROXIMAL-TYPE EPITHELIOID SARCOMA PTES,Proximal-Type Epithelioid Sarcoma,1,2,Proximal-Type Epithelioid Sarcoma,0.8653,Pleural Proximal-Type Epithelioid Sarcoma,0.7802,Distal-Type Epithelioid Sarcoma,0.7164,Epithelioid Sarcoma,0.6732,Epithelial Synovial Sarcoma,0.6444,True,True,True
PSEUDOMYOGENIC HEMANGIOENDOTHELIOMA,Pseudomyogenic Hemangioendothelioma,1,2,Pseudomyogenic Hemangioendothelioma,1.0000,Childhood Pseudomyogenic Hemangioendothelioma,0.8452,Hemangioendothelioma,0.8446,Benign Hemangioendothelioma,0.8390,Polymorphus Hemangioendothelioma,0.8032,True,True,True
PURE ERYTHROID LEUKEMIA,Pure Erythroid Leukemia,1,2,Pure Erythroid Leukemia,1.0000,Acute Erythroid Leukemia,0.8829,Adult Pure Erythroid Leukemia,0.8802,Erythroleukemia,0.7793,Childhood Acute Erythroid Leukemia,0.7755,True,True,True
RA,Refractory Anemia,1,2,Refractory Anemia,0.6997,Retinoblastoma,0.6352,Differentiated Retinoblastoma,0.6296,Retinocytoma,0.6212,ROSE Cluster 7,0.6163,True,True,True
RAEB,Myelodysplastic Syndrome with Excess Blasts,99,2,Acute Erythroid Leukemia,0.6943,Adult Erythroleukemia,0.6898,Erythroleukemia,0.6865,Refractory Anemia with Excess Blasts in Transformation,0.6840,Pure Erythroid Leukemia,0.6639,False,False,False
RARS,Myelodysplastic Syndrome with Ring Sideroblasts,99,2,Refractory Anemia,0.6259,CIC-Rearranged Sarcoma,0.6185,Reticulosarcoma,0.6069,Childhood CIC-Rearranged Sarcoma,0.6055,Refractory Synovial Sarcoma,0.6031,False,False,False
RARS-T,Myelodysplastic/Myeloproliferative Neoplasm with Ring Sideroblasts and Thrombocytosis,99,2,Atypical Teratoid/Rhabdoid Tumor-MYC,0.6040,CIC-Rearranged Sarcoma,0.5906,Acute Myeloid Leukemia with STAT3-RARA,0.5882,Reticulosarcoma,0.5786,Refractory Atypical Teratoid/Rhabdoid Tumor,0.5719,False,False,False
RBL,Retinoblastoma,1,2,Retinoblastoma,0.7880,Sporadic Retinoblastoma,0.7234,Hereditary Retinoblastoma,0.7214,Diffuse Retinoblastoma,0.7177,Intraocular Retinoblastoma,0.7159,True,True,True
RCMD,Myelodysplastic Syndrome with Multilineage Dysplasia,99,2,Myelodysplastic Syndrome with Ring Sideroblasts and Multilineage Dysplasia,0.6062,Cardiac Rhabdomyoma,0.6021,Refractory Cytopenia of Childhood,0.6014,Classic Rhabdomyoma,0.5966,Rhabdomyoma,0.5963,False,False,False
RCMD-RS,Myelodysplastic Syndrome with Ring Sideroblasts and Multilineage Dysplasia,1,2,Myelodysplastic Syndrome with Ring Sideroblasts and Multilineage Dysplasia,0.6605,Refractory Myelodysplastic Syndrome,0.6528,Refractory Malignant Mastocytosis,0.6190,Myelodysplastic Syndrome with Ring Sideroblasts and Single Lineage Dysplasia,0.6187,Refractory Cytopenia of Childhood,0.6064,True,True,True
READ,Rectal Adenocarcinoma,99,2,Retinoblastoma,0.5783,Meningioma,0.5634,Refractory Anemia,0.5624,Retinocytoma,0.5526,Reticulosarcoma,0.5517,False,False,False
READ_GS,Rectal Adenocarcinoma,99,2,Sarcoma GX,0.5424,Reticulosarcoma,0.5262,Sarcoma by NCI Grade,0.5258,Refractory Gliosarcoma,0.5203,Refractory Glioma,0.5184,False,False,False
RECTAL ADENOCARCINOMA,Rectal Adenocarcinoma,1,2,Rectal Adenocarcinoma,1.0000,Rectal Carcinoma,0.9143,Advanced Rectal Adenocarcinoma,0.8875,Metastatic Rectal Adenocarcinoma,0.8505,Rectal Mucinous Adenocarcinoma,0.8457,True,True,True
RECTAL MUCINOUS ADENOCARCINOMA,Rectal Mucinous Adenocarcinoma,1,2,Rectal Mucinous Adenocarcinoma,1.0000,Rectosigmoid Mucinous Adenocarcinoma,0.8582,Rectal Adenocarcinoma,0.8457,Colorectal Mucinous Adenocarcinoma,0.8321,Anal Mucinous Adenocarcinoma,0.8268,True,True,True
RECURRENCE FIRST HGG RECORD,Recurrent Malignant Glioma,99,2,Recurrent Glioma,0.6785,Recurrent WHO Grade 1 Glioma,0.6737,Recurrent Gastric Carcinoma,0.6398,Recurrent Glioblastoma,0.6303,Recurrent Digestive System Neuroendocrine Tumor G1,0.6300,False,False,False
RECURRENT_ENDOMETRIAL_CARCINOMA,Recurrent Endometrial Carcinoma,1,2,Recurrent Endometrial Carcinoma,0.9496,Recurrent Endometrial Undifferentiated Carcinoma,0.8746,Recurrent Endometrial Adenocarcinoma,0.8474,Locally Recurrent Endometrial Carcinoma,0.8332,Recurrent Endometrial Squamous Cell Carcinoma,0.8112,True,True,True
REFRACTORY ANAEMIA WITH EXCESS BLASTS,Myelodysplastic Syndrome with Excess Blasts,3,2,Refractory Anemia with Excess Blasts in Transformation,0.8651,Refractory Anemia,0.7886,Myelodysplastic Syndrome with Excess Blasts,0.7391,Refractory Acute Leukemia,0.6868,Refractory Acute Myeloid Leukemia,0.6765,False,True,True
REFRACTORY ANEMIA,Refractory Anemia,1,2,Refractory Anemia,1.0000,Refractory Acute Leukemia,0.8177,Refractory Leukemia,0.7881,Refractory Acute Myeloid Leukemia,0.7838,Refractory Hematologic Malignancy,0.7657,True,True,True
REFRACTORY ANEMIA WITH EXCESS BLASTS-2,Myelodysplastic Syndrome with Excess Blasts-2,99,2,Refractory Anemia with Excess Blasts in Transformation,0.7708,Myelodysplastic Syndrome with Excess Blasts,0.6999,Refractory Anemia,0.6838,Childhood Myelodysplastic Syndrome with Excess Blasts,0.6395,Myelodysplastic Syndrome with Excess Blasts and Fibrosis,0.6363,False,False,False
REFRACTORY CYTOPENIA WITH MULTILINEAGE DYSPLASIA,Myelodysplastic Syndrome with Multilineage Dysplasia,99,2,Myelodysplastic Syndrome with Ring Sideroblasts and Multilineage Dysplasia,0.8154,Myelodysplastic Syndrome with Ring Sideroblasts and Single Lineage Dysplasia,0.7472,Refractory Myelodysplastic Syndrome,0.7371,Refractory Myelodysplastic/Myeloproliferative Neoplasm,0.6875,Refractory Cytopenia of Childhood,0.6704,False,False,False
REGIONAL LYMPH NODE METASTASIS,Metastatic Malignant Neoplasm in the Regional Lymph Nodes,1,2,Metastatic Malignant Neoplasm in the Regional Lymph Nodes,0.8265,Metastatic Malignant Neoplasm in the Lymph Nodes,0.7287,Malignant Lymph Node Neoplasm,0.6927,Prostate Carcinoma Metastatic in the Lymph Nodes,0.6921,Lymph Node Neoplasm,0.6834,True,True,True
REGIONAL NODES,Metastatic Malignant Neoplasm in the Regional Lymph Nodes,3,2,Lymph Node Neoplasm,0.7813,Malignant Lymph Node Neoplasm,0.7504,Metastatic Malignant Neoplasm in the Regional Lymph Nodes,0.7340,Metastatic Malignant Neoplasm in the Lymph Nodes,0.6822,Regional Neuroblastoma,0.6612,False,True,True
REL CELL CARCINOMA,Renal Cell Carcinoma,99,2,Carcinoma,0.7479,Lipid-Rich Carcinoma,0.7432,Glassy Cell Carcinoma,0.7361,Granular Cell Carcinoma,0.7343,Giant Cell Carcinoma,0.7261,False,False,False
"REL ONCOCYTIC NEOPLASM, FAVOR CHROMOPHOBE, EOSINOPHILIC",Eosinophilic Variant of Chromophobe Renal Cell Carcinoma,2,2,Oncocytic Variant of Chromophobe Renal Cell Carcinoma,0.7198,Eosinophilic Variant of Chromophobe Renal Cell Carcinoma,0.7053,Oncocytic Neoplasm,0.6599,Cystic Oncocytic Neoplasm,0.6493,Oncocytic Variant Thyroid Gland Papillary Carcinoma,0.6439,False,True,True
"REL ONCOCYTIC NEOPLASM, FAVOR ONCOCYTOMA",Kidney Oncocytoma,4,2,Oncocytic Neoplasm,0.8059,Oncocytic Adenoma,0.7799,Cystic Oncocytic Neoplasm,0.7490,Kidney Oncocytoma,0.7463,Thyroid Gland Oncocytic Neoplasm,0.7455,False,False,True
RELA-FUSION,"Supratentorial Ependymoma, ZFTA-RELA Fusion-Positive",1,2,"Supratentorial Ependymoma, ZFTA-RELA Fusion-Positive",0.5959,Fusion-Positive Alveolar Rhabdomyosarcoma,0.5940,Fusion-Positive Rhabdomyosarcoma,0.5730,Round Cell Sarcoma with FUS-NFATC2 Gene Fusion,0.5724,Fusion-Negative Alveolar Rhabdomyosarcoma,0.5696,True,True,True
RELAPSED_AML,Recurrent Acute Myeloid Leukemia,1,2,Recurrent Acute Myeloid Leukemia,0.8163,Recurrent Myeloid Leukemia,0.8116,Recurrent Acute Leukemia,0.8105,Recurrent Myeloid Neoplasm,0.7836,Recurrent Leukemia,0.7827,True,True,True
RENAL ANGIOMYOLIPOMA,Kidney Angiomyolipoma,1,2,Kidney Angiomyolipoma,0.9740,Kidney Classic Angiomyolipoma,0.9414,Childhood Kidney Angiomyolipoma,0.8976,Angiomyolipoma,0.8826,Kidney Epithelioid Angiomyolipoma,0.8825,True,True,True
RENAL CANCER,Kidney Carcinoma,2,2,Renal Cell Carcinoma,0.9172,Kidney Carcinoma,0.9050,"Renal Cell Carcinoma, Not Otherwise Specified",0.8263,Malignant Kidney Neoplasm,0.8140,Kidney Neoplasm,0.8020,False,True,True
"RENAL CARCINOMA, CLEAR CELL",Clear Cell Renal Cell Carcinoma,1,2,Clear Cell Renal Cell Carcinoma,0.9788,Non-Clear Cell Renal Cell Carcinoma,0.8848,Renal Cell Carcinoma,0.8558,Advanced Clear Cell Renal Cell Carcinoma,0.8433,Early Stage Clear Cell Renal Cell Carcinoma,0.8391,True,True,True
RENAL CELL CARCINOMA,Renal Cell Carcinoma,1,2,Renal Cell Carcinoma,1.0000,Kidney Carcinoma,0.9066,"Renal Cell Carcinoma, Not Otherwise Specified",0.8908,Clear Cell Renal Cell Carcinoma,0.8818,Non-Clear Cell Renal Cell Carcinoma,0.8682,True,True,True
RENAL CLEAR CELL,Clear Cell Renal Cell Carcinoma,1,2,Clear Cell Renal Cell Carcinoma,0.8578,Clear Cell Neoplasm,0.8383,Clear Cell Malignant Neoplasm,0.8155,Clear Cell Adenoma,0.7913,Clear Cell Papillary Renal Tumor,0.7757,True,True,True
RENAL CLEAR CELL CARCINOMA,Clear Cell Renal Cell Carcinoma,1,2,Clear Cell Renal Cell Carcinoma,0.9873,Renal Cell Carcinoma,0.8902,Non-Clear Cell Renal Cell Carcinoma,0.8898,Advanced Clear Cell Renal Cell Carcinoma,0.8552,Early Stage Clear Cell Renal Cell Carcinoma,0.8477,True,True,True
RENAL MEDULLARY CARCINOMA,Kidney Medullary Carcinoma,1,2,Kidney Medullary Carcinoma,0.9745,Advanced Kidney Medullary Carcinoma,0.8726,Metastatic Kidney Medullary Carcinoma,0.8703,Unresectable Kidney Medullary Carcinoma,0.8432,Renal Cell Carcinoma,0.8383,True,True,True
RENAL MUCINOUS TUBULAR SPINDLE CELL CARCINOMA,Mucinous Tubular and Spindle Cell Carcinoma of the Kidney,1,2,Mucinous Tubular and Spindle Cell Carcinoma of the Kidney,0.9026,Sarcomatoid Renal Cell Carcinoma,0.7400,Eosinophilic Solid and Cystic Renal Cell Carcinoma,0.7362,Sarcomatoid Transitional Cell Carcinoma,0.7296,Tubulocystic Renal Cell Carcinoma,0.7179,True,True,True
RENAL NON-CLEAR CELL CARCINOMA,Renal Cell Carcinoma,3,2,Non-Clear Cell Renal Cell Carcinoma,0.9824,Clear Cell Renal Cell Carcinoma,0.8943,Renal Cell Carcinoma,0.8810,"Renal Cell Carcinoma, Not Otherwise Specified",0.8772,Non-Hereditary Clear Cell Renal Cell Carcinoma,0.8635,False,True,True
RENAL ONCOCYTOMA,Kidney Oncocytoma,1,2,Kidney Oncocytoma,0.9729,Hereditary Kidney Oncocytoma,0.8571,Oncocytic Variant of Chromophobe Renal Cell Carcinoma,0.8151,Kidney Oncocytoma-Like Angiomyolipoma,0.8094,Adrenal Cortical Oncocytic Carcinoma,0.8092,True,True,True
RENAL SPINDLE CELL CARCINOMA,Sarcomatoid Carcinoma,99,2,Sarcomatoid Renal Cell Carcinoma,0.8293,Lung Spindle Cell Carcinoma,0.7844,Advanced Sarcomatoid Renal Cell Carcinoma,0.7570,Spindle Cell Squamous Carcinoma,0.7554,Renal Cell Carcinoma,0.7439,False,False,False
RENAL_CELL_CARCINOMA,Renal Cell Carcinoma,1,2,Renal Cell Carcinoma,0.9537,"Renal Cell Carcinoma, Not Otherwise Specified",0.8975,Kidney Carcinoma,0.8528,Non-Clear Cell Renal Cell Carcinoma,0.8439,Clear Cell Renal Cell Carcinoma,0.8375,True,True,True
RETINOBLASTOMA,Retinoblastoma,1,2,Retinoblastoma,1.0000,Sporadic Retinoblastoma,0.9067,Intraocular Retinoblastoma,0.9001,Differentiated Retinoblastoma,0.8896,Diffuse Retinoblastoma,0.8885,True,True,True
RHABDOID CANCER,Rhabdoid Tumor,1,2,Rhabdoid Tumor,0.9420,Rhabdoid Meningioma,0.8772,Advanced Rhabdoid Tumor,0.8409,Metastatic Rhabdoid Tumor,0.8302,Refractory Rhabdoid Tumor,0.8260,True,True,True
RHABDOID TUMOR,Rhabdoid Tumor,1,2,Rhabdoid Tumor,1.0000,Advanced Rhabdoid Tumor,0.8947,Rhabdoid Meningioma,0.8898,Refractory Rhabdoid Tumor,0.8792,Extrarenal Rhabdoid Tumor,0.8755,True,True,True
RHABDOID TUMOUR,Rhabdoid Tumor,1,2,Rhabdoid Tumor,0.9974,Advanced Rhabdoid Tumor,0.8899,Rhabdoid Meningioma,0.8894,Refractory Rhabdoid Tumor,0.8773,Extrarenal Rhabdoid Tumor,0.8768,True,True,True
RHABDOID_TUMOUR,Rhabdoid Tumor,1,2,Rhabdoid Tumor,0.9729,Advanced Rhabdoid Tumor,0.8765,Refractory Rhabdoid Tumor,0.8718,Extrarenal Rhabdoid Tumor,0.8663,Metastatic Rhabdoid Tumor,0.8603,True,True,True
RHABDOMYOSARCOMA,Rhabdomyosarcoma,1,2,Rhabdomyosarcoma,1.0000,Childhood Rhabdomyosarcoma,0.8823,Rhabdomyoma,0.8783,Cardiac Rhabdomyosarcoma,0.8732,Adult Rhabdomyosarcoma,0.8707,True,True,True
"RHABDOMYOSARCOMA, ALVEOLAR",Alveolar Rhabdomyosarcoma,1,2,Alveolar Rhabdomyosarcoma,0.9832,Conventional Alveolar Rhabdomyosarcoma,0.9275,Solid Alveolar Rhabdomyosarcoma,0.9105,Childhood Alveolar Rhabdomyosarcoma,0.9026,Prostate Alveolar Rhabdomyosarcoma,0.8328,True,True,True
"RHABDOMYOSARCOMA, ALVEOLAR SUBTYPE",Alveolar Rhabdomyosarcoma,1,2,Alveolar Rhabdomyosarcoma,0.9604,Conventional Alveolar Rhabdomyosarcoma,0.9120,Solid Alveolar Rhabdomyosarcoma,0.8926,Childhood Alveolar Rhabdomyosarcoma,0.8698,Prostate Alveolar Rhabdomyosarcoma,0.8038,True,True,True
"RHABDOMYOSARCOMA, EMBRYONAL",Embryonal Rhabdomyosarcoma,1,2,Embryonal Rhabdomyosarcoma,0.9810,Childhood Embryonal Rhabdomyosarcoma,0.9161,Anaplastic Embryonal Rhabdomyosarcoma,0.8464,Metastatic Embryonal Rhabdomyosarcoma,0.8321,Childhood Rhabdomyosarcoma,0.8121,True,True,True
RMS,Rhabdomyosarcoma,1,2,Rhabdomyosarcoma,0.8200,Refractory Rhabdomyosarcoma,0.7791,Alveolar Rhabdomyosarcoma,0.7551,Childhood Rhabdomyosarcoma,0.7526,Reticulosarcoma,0.7457,True,True,True
ROSAI-DORFMAN DISEASE,Rosai-Dorfman Disease,99,2,Rosai-Dorfman-Destombes Disease,0.8417,Cutaneous Rosai-Dorfman-Destombes Disease,0.8236,Central Nervous System Rosai-Dorfman-Destombes Disease,0.8105,Bone Rosai-Dorfman-Destombes Disease,0.8068,Head and Neck Rosai-Dorfman-Destombes Disease,0.7787,False,False,False
ROSETTE-FORMING GLIONEURONAL TUMOR OF THE FOURTH VENTRICLE,Rosette-Forming Glioneuronal Tumor of the Fourth Ventricle,1,2,Rosette-Forming Glioneuronal Tumor of the Fourth Ventricle,1.0000,Rosette-Forming Glioneuronal Tumor,0.8639,Embryonal Tumor with Multilayered Rosettes of the Fourth Ventricle,0.8614,Fourth Ventricle Medulloblastoma,0.6924,Embryonal Tumor with Multilayered Rosettes,0.6859,True,True,True
"ROUND CELL SARCOMA, NOS",Undifferentiated Round Cell Sarcoma,1,2,Undifferentiated Round Cell Sarcoma,0.8992,Round Cell Liposarcoma,0.7868,Small Cell Sarcoma,0.7484,Spindle Cell Sarcoma,0.7317,Fibroblastic Reticular Cell Sarcoma,0.7297,True,True,True
"ROUND CELL SARCOMA, OTHER",Round Cell Sarcoma,99,2,Undifferentiated Round Cell Sarcoma,0.8565,Round Cell Sarcoma with EWSR1-non-ETS Fusion,0.7698,Childhood Round Cell Sarcoma with EWSR1-non-ETS Fusion,0.7472,Round Cell Liposarcoma,0.7272,Reticulosarcoma,0.7012,False,False,False
RT,Rhabdoid Tumor,99,2,Refractory Thrombocytopenia,0.6549,Radiation-Related Neoplasm,0.6311,Therapy-Related Neoplasm,0.6176,Retinoblastoma,0.6036,Radiation-Related Malignant Neoplasm,0.6003,False,False,False
SALIVARY ADENOCARCINOMA,Salivary Gland Adenocarcinoma,1,2,Salivary Gland Adenocarcinoma,0.9768,Salivary Gland Carcinoma,0.8801,"Salivary Gland Adenocarcinoma, Not Otherwise Specified",0.8795,Major Salivary Gland Adenocarcinoma,0.8717,Salivary Duct Carcinoma,0.8594,True,True,True
SALIVARY ADENOCARCINOMA NOS,Salivary Gland Adenocarcinoma,1,2,Salivary Gland Adenocarcinoma,0.9658,"Salivary Gland Adenocarcinoma, Not Otherwise Specified",0.9250,Salivary Gland Carcinoma,0.8713,Major Salivary Gland Adenocarcinoma,0.8607,Minor Salivary Gland Adenocarcinoma,0.8506,True,True,True
SALIVARY CANCER,Salivary Gland Carcinoma,1,2,Salivary Gland Carcinoma,0.9323,Salivary Gland Adenocarcinoma,0.8753,Salivary Gland Neoplasm,0.8721,Salivary Duct Carcinoma,0.8552,Major Salivary Gland Carcinoma,0.8229,True,True,True
SALIVARY CARCINOMA,Salivary Gland Carcinoma,1,2,Salivary Gland Carcinoma,0.9727,Salivary Duct Carcinoma,0.9143,Salivary Gland Adenocarcinoma,0.8903,Salivary Gland Secretory Carcinoma,0.8669,Major Salivary Gland Carcinoma,0.8576,True,True,True
"SALIVARY CARCINOMA, OTHER",Salivary Gland Carcinoma,1,2,Salivary Gland Carcinoma,0.8197,"Salivary Gland Adenocarcinoma, Not Otherwise Specified",0.7918,Salivary Gland Undifferentiated Carcinoma,0.7568,Salivary Duct Carcinoma,0.7536,Major Salivary Gland Carcinoma,0.7517,True,True,True
SALIVARY DUCT CARCINOMA,Salivary Duct Carcinoma,1,2,Salivary Duct Carcinoma,1.0000,Salivary Gland Carcinoma,0.9034,Salivary Gland Adenocarcinoma,0.8496,Metastatic Salivary Duct Carcinoma,0.8277,Salivary Gland Intraductal Carcinoma,0.8206,True,True,True
SALIVARY GLAND CANCER,Salivary Gland Carcinoma,1,2,Salivary Gland Carcinoma,0.9594,Salivary Gland Neoplasm,0.8969,Salivary Gland Adenocarcinoma,0.8814,Major Salivary Gland Carcinoma,0.8487,Salivary Duct Carcinoma,0.8486,True,True,True
SARC,Sarcoma,1,2,Sarcoma,0.6447,Osteosarcoma,0.6157,Sarcoma by NCI Grade,0.6112,Conventional Osteosarcoma,0.6000,Advanced Sarcoma,0.5984,True,True,True
SARC LMS,Uterine Corpus Leiomyosarcoma,99,2,Lymphosarcoma,0.6746,Laryngeal Leiomyosarcoma,0.6691,Localized Leiomyosarcoma,0.6569,Conventional Leiomyosarcoma,0.6563,Childhood Leiomyosarcoma,0.6528,False,False,False
SARC LS,Liposarcoma,99,2,Lymphosarcoma,0.6178,Sarcoma,0.6055,Localized Sarcoma,0.5982,Advanced Sarcoma,0.5939,Colorectal Serrated Lesions and Polyps,0.5939,False,False,False
SARCOMA,Sarcoma,1,2,Sarcoma,1.0000,Bone Sarcoma,0.9162,Sarcomatosis,0.8800,Stromal Sarcoma,0.8442,Myeloid Sarcoma,0.8426,True,True,True
SARCOMA LEIOMYO,Uterine Corpus Leiomyosarcoma,99,2,Leiomyosarcoma,0.9242,Bone Leiomyosarcoma,0.8694,Conventional Leiomyosarcoma,0.8599,Digestive System Leiomyosarcoma,0.8499,Leiomyosarcoma of Vessels,0.8366,False,False,False
SARCOMA LIPO,Liposarcoma,1,2,Liposarcoma,0.8715,Skin Liposarcoma,0.8368,Localized Liposarcoma,0.8132,Bone Liposarcoma,0.8129,Fibroblastic Liposarcoma,0.8008,True,True,True
"SARCOMA, NOS",Sarcoma,1,2,Sarcoma,0.9130,Bone Sarcoma,0.8657,Sarcomatosis,0.8554,Soft Tissue Sarcoma,0.7857,Stromal Sarcoma,0.7831,True,True,True
SARCOMATOID,Sarcomatoid Carcinoma,1,2,Sarcomatoid Carcinoma,0.9212,Sarcomatoid Mesothelioma,0.8521,Sarcoma,0.8217,Sarcomatosis,0.8040,Undifferentiated Soft Tissue Sarcoma,0.7550,True,True,True
SARCOMATOID CARCINOMA OF THE LUNG,Lung Sarcomatoid Carcinoma,1,2,Lung Sarcomatoid Carcinoma,0.9572,Lung Spindle Cell Carcinoma,0.8199,Lung Sarcoma,0.7841,Sarcomatoid Carcinoma,0.7748,Lung Pleomorphic Carcinoma,0.7635,True,True,True
SARCOMATOID MESOTHELIOMA,Sarcomatoid Mesothelioma,1,2,Sarcomatoid Mesothelioma,1.0000,Pleural Sarcomatoid Mesothelioma,0.8836,Peritoneal Sarcomatoid Mesothelioma,0.8463,Epithelioid Mesothelioma,0.8213,Malignant Mesothelioma,0.8141,True,True,True
SARCOMATOID RENAL CELL CARCINOMA,Sarcomatoid Renal Cell Carcinoma,1,2,Sarcomatoid Renal Cell Carcinoma,1.0000,Advanced Sarcomatoid Renal Cell Carcinoma,0.8800,Metastatic Sarcomatoid Renal Cell Carcinoma,0.8666,Locally Advanced Sarcomatoid Renal Cell Carcinoma,0.8533,Unresectable Sarcomatoid Renal Cell Carcinoma,0.8156,True,True,True
SARC_DDLPS,Dedifferentiated Liposarcoma,99,2,Colorectal Serrated Lesions and Polyps,0.5977,Autoimmune Lymphoproliferative Syndrome-Related Lymphoma,0.5904,Serrated Lesions and Polyps,0.5715,"Myelodysplastic Syndrome, Not Otherwise Specified with Single Lineage Dysplasia",0.5687,"Myelodysplastic Syndrome, Unclassifiable, with Single Lineage Dysplasia",0.5552,False,False,False
SARC_LMS,Leiomyosarcoma,99,2,Lymphosarcoma,0.6701,Conventional Leiomyosarcoma,0.6541,Locally Advanced Leiomyosarcoma,0.6537,Laryngeal Leiomyosarcoma,0.6500,Non-Cutaneous Leiomyosarcoma,0.6468,False,False,False
SARC_OTHER,Sarcoma,99,2,Neoplasm by Special Category,0.6083,Neoplasm by Site,0.5843,Miscellaneous Neoplasm,0.5700,Unresectable Sarcoma,0.5684,Lymphoma by Site,0.5666,False,False,False
SBS,Small Intestinal Carcinoma,99,2,Sarcoma,0.6023,Gallbladder Sarcoma,0.6020,Breast Sarcoma,0.5887,Polyposis,0.5850,Synchronous Multifocal Osteosarcoma,0.5822,False,False,False
SCC HEAD AND NECK,Head and Neck Squamous Cell Carcinoma,1,2,Head and Neck Squamous Cell Carcinoma,0.8954,Head and Neck Carcinoma,0.8923,Cutaneous Squamous Cell Carcinoma of the Head and Neck,0.7982,Head and Neck Sebaceous Carcinoma,0.7969,Malignant Head and Neck Neoplasm,0.7954,True,True,True
