"original_value","curated_ontology","curated_ontology_term_id","curated_ontology_term_db","...5","...6","...7"
"KIDNEY CLEAR CELL RENAL CARCINOMA","Clear Cell Renal Cell Carcinoma","NCIT:C4033","NCIT",NA,NA,NA
"RENAL CLEAR CELL","Clear Cell Renal Cell Carcinoma","NCIT:C4033","NCIT",NA,NA,NA
"KIRC","Clear Cell Renal Cell Carcinoma","NCIT:C4033","NCIT",NA,NA,NA
"PAPILLARY THYROID CANCER","Thyroid Gland Papillary Carcinoma","NCIT:C4035","NCIT",NA,NA,NA
"PAPILLARY THROID CARCINOMA","Thyroid Gland Papillary Carcinoma","NCIT:C4035","NCIT",NA,NA,NA
"THYROID PAPILLARY","Thyroid Gland Papillary Carcinoma","NCIT:C4035","NCIT",NA,NA,NA
"THPA","Thyroid Gland Papillary Carcinoma","NCIT:C4035","NCIT",NA,NA,NA
"RARS","Myelodysplastic Syndrome with Ring Sideroblasts","NCIT:C4036","NCIT",NA,NA,NA
"MDS WITH RING SIDEROBLASTS","Myelodysplastic Syndrome with Ring Sideroblasts","NCIT:C4036","NCIT",NA,NA,NA
"CARCINOSARCOMA-MAMMARY GLAND; BREAST","Breast Mixed Epithelial/Mesenchymal Metaplastic Carcinoma","NCIT:C40364","NCIT",NA,NA,NA
"CARCINOSARCOMA-MAMMARY GLAND","Breast Mixed Epithelial/Mesenchymal Metaplastic Carcinoma","NCIT:C40364","NCIT",NA,NA,NA
"BREAST INVASIVE CARCINOSARCOMA, NOS","Breast Mixed Epithelial/Mesenchymal Metaplastic Carcinoma","NCIT:C40364","NCIT",NA,NA,NA
"BREAST MICROINVASIVE CARCINOMA","Microinvasive Breast Carcinoma","NCIT:C40374","NCIT",NA,NA,NA
"LUNG NEUROENDOCRINE TUMOR","Lung Carcinoid Tumor","NCIT:C4038","NCIT",NA,NA,NA
"LUNG CARCINOID","Lung Carcinoid Tumor","NCIT:C4038","NCIT",NA,NA,NA
"LUNG_CARCINOID","Lung Carcinoid Tumor","NCIT:C4038","NCIT",NA,NA,NA
"LUNG NEUROENDOCRINE","Lung Carcinoid Tumor","NCIT:C4038","NCIT",NA,NA,NA
"LNET","Lung Carcinoid Tumor","NCIT:C4038","NCIT",NA,NA,NA
"SQUAMOUS CELL CARCINOMA, BUCCAL MUCOSA","Buccal Mucosa Squamous Cell Carcinoma","NCIT:C4040","NCIT",NA,NA,NA
"HYPOPHARYNX SQUAMOUS CELL CARCINOMA","Hypopharyngeal Squamous Cell Carcinoma","NCIT:C4043","NCIT",NA,NA,NA
"SQUAMOUS CELL CARCINOMA, HYPOPHARYNGEAL","Hypopharyngeal Squamous Cell Carcinoma","NCIT:C4043","NCIT",NA,NA,NA
"HYPOPHARYNGEAL","Hypopharyngeal Squamous Cell Carcinoma","NCIT:C4043","NCIT",NA,NA,NA
"SCCOHT","Ovarian Small Cell Carcinoma, Hypercalcemic Type","NCIT:C40439","NCIT",NA,NA,NA
"SMALL CELL CARCINOMA OF THE OVARY HYPERCALCEMIC TYPE SCCOHT","Ovarian Small Cell Carcinoma, Hypercalcemic Type","NCIT:C40439","NCIT",NA,NA,NA
"LARYNX SQUAMOUS CELL CARCINOMA","Laryngeal Squamous Cell Carcinoma","NCIT:C4044","NCIT",NA,NA,NA
"SQUAMOUS CELL CARCINOMA, LARYNGEAL","Laryngeal Squamous Cell Carcinoma","NCIT:C4044","NCIT",NA,NA,NA
"PILOCYTIC ASTROCYTOMA","Pilocytic Astrocytoma","NCIT:C4047","NCIT",NA,NA,NA
"PAST","Pilocytic Astrocytoma","NCIT:C4047","NCIT",NA,NA,NA
"ANAPLASTIC EPENDYMOMA","Anaplastic Ependymoma","NCIT:C4049","NCIT",NA,NA,NA
"OLIGOASTROCYTOMA","Oligoastrocytoma","NCIT:C4050","NCIT",NA,NA,NA
"ANAPLASTIC MENINGIOMA","Anaplastic (Malignant) Meningioma","NCIT:C4051","NCIT",NA,NA,NA
"SQUAMOUS CELL CARCINOMA, VULVAR","Vulvar Squamous Cell Carcinoma","NCIT:C4052","NCIT",NA,NA,NA
"MESONEPHRIC CARCINOMA","Mesonephric Adenocarcinoma","NCIT:C4072","NCIT",NA,NA,NA
"CENTROBLASTIC","Centroblastic Lymphoma","NCIT:C4074","NCIT",NA,NA,NA
"SCHMINKE TUMOR/LYMPHOEPITHELIAL CARCINOMA","Nasopharyngeal-Type Undifferentiated Carcinoma","NCIT:C4107","NCIT",NA,NA,NA
"PILOMATRIX CARCINOMA","Pilomatrical Carcinoma","NCIT:C4114","NCIT",NA,NA,NA
"CUTANEOUS MALIGNANCY OF HAIR MATRIX CELLS","Pilomatrical Carcinoma","NCIT:C4114","NCIT",NA,NA,NA
"PAPILLARY_TRANSITIONAL_CELL_CARCINOMA","Papillary Transitional Cell Carcinoma","NCIT:C4122","NCIT",NA,NA,NA
"PRIMARY MYELOFIBROSIS,OVERT FIBROTIC STAGE","Overt Primary Myelofibrosis","NCIT:C41238","NCIT",NA,NA,NA
"MUCINOUS CYSTIC NEOPLASM","Pancreatic Mucinous-Cystic Neoplasm","NCIT:C41247","NCIT",NA,NA,NA
"FIBROLAMELLAR CARCINOMA","Fibrolamellar Carcinoma","NCIT:C4131","NCIT",NA,NA,NA
"FIBROLAMELLAR HEPATOCELLUAR CARCINOMA","Fibrolamellar Carcinoma","NCIT:C4131","NCIT",NA,NA,NA
"CHROMOPHOBE RENAL CELL CARCINOMA","Chromophobe Renal Cell Carcinoma","NCIT:C4146","NCIT",NA,NA,NA
"KIDNEY CHROMOPHOBE","Chromophobe Renal Cell Carcinoma","NCIT:C4146","NCIT",NA,NA,NA
"CHROMOPHOBE RENAL CELL CARCINOMAÃ‚Â ","Chromophobe Renal Cell Carcinoma","NCIT:C4146","NCIT",NA,NA,NA
"CHROMOPHOBE","Chromophobe Renal Cell Carcinoma","NCIT:C4146","NCIT",NA,NA,NA
"CHROMOPHOBE KIDNEY RENAL CELL CARCINOMA","Chromophobe Renal Cell Carcinoma","NCIT:C4146","NCIT",NA,NA,NA
"KICH","Chromophobe Renal Cell Carcinoma","NCIT:C4146","NCIT",NA,NA,NA
"ADENOCARCINOMA, MIXED","Mixed Cell Adenocarcinoma","NCIT:C4158","NCIT",NA,NA,NA
"JUVENILE SECRETORY CARCINOMA OF THE BREAST","Breast Secretory Carcinoma","NCIT:C4189","NCIT",NA,NA,NA
"INFILTRATING DUCTAL CARCINOMA","Invasive Breast Carcinoma of No Special Type","NCIT:C4194","NCIT",NA,NA,NA
"IDC","Invasive Breast Carcinoma of No Special Type","NCIT:C4194","NCIT",NA,NA,NA
"BREAST INVASIVE DUCTAL CARCINOMA","Invasive Breast Carcinoma of No Special Type","NCIT:C4194","NCIT",NA,NA,NA
"BREAST INVASIVE CARCINOMA, NOS","Invasive Breast Carcinoma of No Special Type","NCIT:C4194","NCIT",NA,NA,NA
"INVASIVE_DUCTAL_CARCINOMA","Invasive Breast Carcinoma of No Special Type","NCIT:C4194","NCIT",NA,NA,NA
"CANCER IDENTIFICATION IDC","Invasive Breast Carcinoma of No Special Type","NCIT:C4194","NCIT",NA,NA,NA
"EPITHELIAL-MYOEPITHELIAL CARCINOMA","Epithelial-Myoepithelial Carcinoma","NCIT:C4199","NCIT",NA,NA,NA
"GANGLIONEUROBLASTOMA, INTERMIXED","Ganglioneuroblastoma, Intermixed","NCIT:C42057","NCIT",NA,NA,NA
"GANGLIONEUROBLASTOMA, NODULAR","Ganglioneuroblastoma, Nodular","NCIT:C42058","NCIT",NA,NA,NA
"GLOMANGIOSARCOMA","Malignant Glomus Tumor","NCIT:C4221","NCIT",NA,NA,NA
"AMELANOTIC NODULAR","Cutaneous Nodular Melanoma","NCIT:C4225","NCIT",NA,NA,NA
"INFANTILE FIBROSARCOMA","Infantile Fibrosarcoma","NCIT:C4244","NCIT",NA,NA,NA
"INFANTILE SARCOMA","Infantile Sarcoma","NCIT:C4244","NCIT",NA,NA,NA
"MALIGNANT FIBROUS HISTIOCYTOMA","Undifferentiated Pleomorphic Sarcoma","NCIT:C4247","NCIT",NA,NA,NA
"MALIGNANT FIBROUS HISTIOCYTOMA-PLEOMORPHIC SARCOMA","Undifferentiated Pleomorphic Sarcoma","NCIT:C4247","NCIT",NA,NA,NA
"UNDIFFERENTIATED PLEOMORPHIC SARCOMA UPS","Undifferentiated Pleomorphic Sarcoma","NCIT:C4247","NCIT",NA,NA,NA
"PLEOMORPHIC 'MFH' / UNDIFFERENTIATED PLEOMORPHIC SARCOMA","Undifferentiated Pleomorphic Sarcoma","NCIT:C4247","NCIT",NA,NA,NA
"PLEOMORPHIC SARCOMA","Undifferentiated Pleomorphic Sarcoma","NCIT:C4247","NCIT",NA,NA,NA
"PLEOMORPHIC_SARCOMA","Undifferentiated Pleomorphic Sarcoma","NCIT:C4247","NCIT",NA,NA,NA
"UNDIFFERENTIATED PLEOMORPHIC SARCOMA MALIGNANT FIBROUS HISTIOCYTOMA","Undifferentiated Pleomorphic Sarcoma","NCIT:C4247","NCIT",NA,NA,NA
"UNDIFFERENTIATED PLEOMORPHIC SARCOMA/MALIGANT FIBROUS HISTIOCYTOMA/HIGH-GRADE SPINDLE CELL SARCOMA","Undifferentiated Pleomorphic Sarcoma","NCIT:C4247","NCIT",NA,NA,NA
"MALIGNANT_FIBROUS_HISTIOCYTOMA","Undifferentiated Pleomorphic Sarcoma","NCIT:C4247","NCIT",NA,NA,NA
"PLEOMORPHIC RHABDOMYOSARCOMA","Pleomorphic Rhabdomyosarcoma","NCIT:C4258","NCIT",NA,NA,NA
"MIXED 80% ALVEOLAR","Rhabdomyosarcoma with Mixed Embryonal and Alveolar Features","NCIT:C4259","NCIT",NA,NA,NA
"LOW-GRADE ENDOMETRIAL STROMAL SARCOMA","Low Grade Endometrioid Stromal Sarcoma","NCIT:C4263","NCIT",NA,NA,NA
"PANCREATOBLASTOMA","Pancreatoblastoma","NCIT:C4265","NCIT",NA,NA,NA
"UTERINE CARCINOSARCOMA","Uterine Carcinosarcoma","NCIT:C42700","NCIT",NA,NA,NA
"UCS","Uterine Carcinosarcoma","NCIT:C42700","NCIT",NA,NA,NA
"SYNOVIAL SARCOMA - BIPHASIC","Biphasic Synovial Sarcoma","NCIT:C4279","NCIT",NA,NA,NA
"BIPHASIC MESOTHELIOMA","Biphasic Mesothelioma","NCIT:C4282","NCIT",NA,NA,NA
"IMMATURE TERATOMA","Immature Teratoma","NCIT:C4286","NCIT",NA,NA,NA
"TERATOMA IMMATURE","Immature Teratoma","NCIT:C4286","NCIT",NA,NA,NA
"TERATOMA WITH MALIGNANT TRANSFORMATION","Teratoma with Somatic-Type Malignancy","NCIT:C4289","NCIT",NA,NA,NA
"MIXED GERM CELL TUMOR","Mixed Germ Cell Tumor","NCIT:C4290","NCIT",NA,NA,NA
"MIXED_GERM_CELL","Mixed Germ Cell Tumor","NCIT:C4290","NCIT",NA,NA,NA
"DOWN SYNDROME; ACUTE MEGAKARYOBLASTIC LEUKAEMIA","Myeloid Leukemia Associated with Down Syndrome","NCIT:C43223","NCIT",NA,NA,NA
"MYELOID LEUKEMIA ASSOCIATED WITH DOWN SYNDROME","Myeloid Leukemia Associated with Down Syndrome","NCIT:C43223","NCIT",NA,NA,NA
"MYELOID LEUKAEMIA ASSOCIATED WITH DOWN SYNDROME","Myeloid Leukemia Associated with Down Syndrome","NCIT:C43223","NCIT",NA,NA,NA
"PLEOMORPHIC XANTHOASTROCYTOMA","Pleomorphic Xanthoastrocytoma","NCIT:C4323","NCIT",NA,NA,NA
"ASTROBLASTOMA","Astroblastoma, MN1-Altered","NCIT:C4324","NCIT",NA,NA,NA
"ANAPLASTIC OLIGODENDROGLIOMA","Anaplastic Oligodendroglioma","NCIT:C4326","NCIT",NA,NA,NA
"PERIPHERAL MEDULLOEPITHELIOMA","Central Nervous System Medulloepithelioma","NCIT:C4327","NCIT",NA,NA,NA
"MANTLE CELL LYMPHOMA","Mantle Cell Lymphoma","NCIT:C4337","NCIT",NA,NA,NA
"MANTLE_CELL_LYMPHOMA","Mantle Cell Lymphoma","NCIT:C4337","NCIT",NA,NA,NA
"B_CELL_MANTLE_CELL","Mantle Cell Lymphoma","NCIT:C4337","NCIT",NA,NA,NA
"LENTIGO MALIGNA","Lentigo Maligna","NCIT:C43372","NCIT",NA,NA,NA
"PERIPHERAL T-CELL LYMPHOMA, NOS","Peripheral T-Cell Lymphoma, Not Otherwise Specified","NCIT:C4340","NCIT",NA,NA,NA
"PERIPHERAL_T_CELL_LYMPHOMA_UNSPECIFIED","Peripheral T-Cell Lymphoma, Not Otherwise Specified","NCIT:C4340","NCIT",NA,NA,NA
"MARGINAL ZONE LYMPHOMA","Marginal Zone Lymphoma","NCIT:C4341","NCIT",NA,NA,NA
"MYELOPROLIFERATIVE NEOPLASMS","Myeloproliferative Neoplasm","NCIT:C4345","NCIT",NA,NA,NA
"COLON ADENOCARCINOMA","Colon Adenocarcinoma","NCIT:C4349","NCIT",NA,NA,NA
"COLON ADENOCARCINOMA IN SITU","Colon Adenocarcinoma","NCIT:C4349","NCIT",NA,NA,NA
"COAD","Colon Adenocarcinoma","NCIT:C4349","NCIT",NA,NA,NA
"COAD_GS","Colon Adenocarcinoma","NCIT:C4349","NCIT",NA,NA,NA
"SIGNET RING CELL TYPE OF THE APPENDIX","Appendix Signet Ring Cell Carcinoma","NCIT:C43554","NCIT",NA,NA,NA
"MUCINOUS ADENOCARCINOMA OF THE APPENDIX","Appendix Mucinous Adenocarcinoma","NCIT:C43558","NCIT",NA,NA,NA
"PLEOMORPHIC HEPATOCELLULAR CARCINOMA","Pleomorphic Hepatocellular Carcinoma","NCIT:C43625","NCIT",NA,NA,NA
"OVARIAN EPITHELIAL TUMOR","Ovarian Epithelial Tumor","NCIT:C4381","NCIT",NA,NA,NA
"CHOLANGIOCARCINOMA","Cholangiocarcinoma","NCIT:C4436","NCIT",NA,NA,NA
"CHOL","Cholangiocarcinoma","NCIT:C4436","NCIT",NA,NA,NA
"LARGE CELL LUNG CARCINOMA","Lung Large Cell Carcinoma","NCIT:C4450","NCIT",NA,NA,NA
"LARGE_CELL_LUNG_CANCER","Lung Large Cell Carcinoma","NCIT:C4450","NCIT",NA,NA,NA
"CLEAR CELL CARCINOMA OF THE LUNG","Lung Large Cell Carcinoma, Clear Cell Variant","NCIT:C4451","NCIT",NA,NA,NA
"ACANTHOLYTIC","Skin Acantholytic Squamous Cell Carcinoma","NCIT:C4460","NCIT",NA,NA,NA
"MALIGNANT PHYLLODES TUMOR OF THE BREAST","Malignant Breast Phyllodes Tumor","NCIT:C4504","NCIT",NA,NA,NA
"MALIGNANT PT","Malignant Breast Phyllodes Tumor","NCIT:C4504","NCIT",NA,NA,NA
"CERVICAL ADENOSQUAMOUS CARCINOMA","Cervical Adenosquamous Carcinoma","NCIT:C4519","NCIT",NA,NA,NA
"CERVICAL ADENOCARCINOMA IN SITU","Cervical Adenocarcinoma In Situ","NCIT:C4520","NCIT",NA,NA,NA
"LOW-GRADE FIBROMYXOID SARCOMA","Low Grade Fibromyxoid Sarcoma","NCIT:C45202","NCIT",NA,NA,NA
"LOW GRADE FIBROMYXOID SARCOMA","Low Grade Fibromyxoid Sarcoma","NCIT:C45202","NCIT",NA,NA,NA
"RENAL ONCOCYTOMA","Kidney Oncocytoma","NCIT:C4526","NCIT",NA,NA,NA
"REL ONCOCYTIC NEOPLASM, FAVOR ONCOCYTOMA","Kidney Oncocytoma","NCIT:C4526","NCIT",NA,NA,NA
"PRIMARY CUTANEOUS CD8 POSITIVE AGGRESSIVE EPIDERMOTROPIC CYTOTOXIC T-CELL LYMPHOMA","Primary Cutaneous CD8-Positive Aggressive Epidermotropic Cytotoxic T-Cell Lymphoma","NCIT:C45339","NCIT",NA,NA,NA
"OPTIC NERVE GLIOMA","Optic Nerve Glioma","NCIT:C4537","NCIT",NA,NA,NA
"LUNG ADENOCARCINOMA MIXED SUBTYPE","Lung Adenocarcinoma, Mixed Subtype","NCIT:C45508","NCIT",NA,NA,NA
"ADENOCARCINOMA, MIXED SUBTYPES","Lung Adenocarcinoma, Mixed Subtype","NCIT:C45508","NCIT",NA,NA,NA
"LUNG MUCINOUS ADENOCARCINOMA","Lung Colloid Adenocarcinoma","NCIT:C45512","NCIT",NA,NA,NA
"ADCA ACINAR WITH MUCIN PRODUCTION","Lung Colloid Adenocarcinoma","NCIT:C45512","NCIT",NA,NA,NA
"LYMPHOEPITHELIOMA-LIKE CARCINOMA OF THE LUNG","Lung Lymphoepithelial Carcinoma","NCIT:C45519","NCIT",NA,NA,NA
"SARCOMATOID CARCINOMA OF THE LUNG","Lung Sarcomatoid Carcinoma","NCIT:C45540","NCIT",NA,NA,NA
"SPINDLE CELL CARCINOMA OF THE LUNG","Lung Spindle Cell Carcinoma","NCIT:C45541","NCIT",NA,NA,NA
"PLEOMORPHIC CARCINOMA OF THE LUNG","Lung Pleomorphic Carcinoma","NCIT:C45542","NCIT",NA,NA,NA
"MUCOEPIDERMOID CARCINOMA OF THE LUNG","Lung Mucoepidermoid Carcinoma","NCIT:C45544","NCIT",NA,NA,NA
"ATYPICAL LUNG CARCINOID","Lung Atypical Carcinoid Tumor","NCIT:C45551","NCIT",NA,NA,NA
"SARCOMATOID MESOTHELIOMA","Sarcomatoid Mesothelioma","NCIT:C45655","NCIT",NA,NA,NA
"PLEURAL MESOTHELIOMA, EPITHELIOID TYPE","Pleural Epithelioid Mesothelioma","NCIT:C45662","NCIT",NA,NA,NA
"PLEURAL MESOTHELIOMA, SARCOMATOID TYPE","Pleural Sarcomatoid Mesothelioma","NCIT:C45663","NCIT",NA,NA,NA
"PLEURAL MESOTHELIOMA, BIPHASIC TYPE","Pleural Biphasic Mesothelioma","NCIT:C45665","NCIT",NA,NA,NA
"BOWEL CANCER, NOS","Malignant Intestinal Neoplasm","NCIT:C4572","NCIT",NA,NA,NA
"GERM CELL TUMOR WITH SOMATIC-TYPE MALIGNANCY","Mediastinal Germ Cell Tumor with Somatic-Type Malignancy","NCIT:C45732","NCIT",NA,NA,NA
"POORLY DIFFERENTIATED ONCOCYTIC CARCINOMA","Oncocytic Variant Thyroid Gland Papillary Carcinoma","NCIT:C46093","NCIT",NA,NA,NA
"CNS CANCER","Malignant Central Nervous System Neoplasm","NCIT:C4627","NCIT",NA,NA,NA
"CNS","Malignant Central Nervous System Neoplasm","NCIT:C4627","NCIT",NA,NA,NA
"FIBROBLAST_SKIN","Skin Fibroblastic Neoplasm","NCIT:C4634","NCIT",NA,NA,NA
"SQUAMOUS CELL CARCINOMA, TONGUE","Tongue Squamous Cell Carcinoma","NCIT:C4648","NCIT",NA,NA,NA
"PINEAL GERM CELL TUMOR","Pineal Region Germ Cell Tumor","NCIT:C4659","NCIT",NA,NA,NA
"HEMANGIOPERICYTOMA OF THE CENTRAL NERVOUS SYSTEM","Meningeal Solitary Fibrous Tumor","NCIT:C4660","NCIT",NA,NA,NA
"T-CELL LARGE GRANULAR LYMPHOCYTIC LEUKEMIA","T-Cell Large Granular Lymphocyte Leukemia","NCIT:C4664","NCIT",NA,NA,NA
"T_CELL_LARGE_GRANULAR_LYMPHOCYTIC_LEUKAEMIA","T-Cell Large Granular Lymphocyte Leukemia","NCIT:C4664","NCIT",NA,NA,NA
"BREAST SARCOMA","Breast Sarcoma","NCIT:C4670","NCIT",NA,NA,NA
"ACUTE BIPHENOTYPIC LEUKEMIA","Acute Biphenotypic Leukemia","NCIT:C4673","NCIT",NA,NA,NA
"ACUTE_BIPHENOTYPIC_LEUKEMIA","Acute Biphenotypic Leukemia","NCIT:C4673","NCIT",NA,NA,NA
"DERMATOFIBROSARCOMA PROTUBERANS","Dermatofibrosarcoma Protuberans","NCIT:C4683","NCIT",NA,NA,NA
"ANAPLASTIC GANGLIOGLIOMA","Anaplastic Ganglioglioma","NCIT:C4717","NCIT",NA,NA,NA
"ATYPICAL MENINGIOMA","Atypical Meningioma","NCIT:C4723","NCIT",NA,NA,NA
"CELLULAR SCHWANNOMA","Cellular Schwannoma","NCIT:C4724","NCIT",NA,NA,NA
"CRANIOPHARYNGIOMA, ADAMANTINOMATOUS TYPE","Adamantinomatous Craniopharyngioma","NCIT:C4726","NCIT",NA,NA,NA
"GLIONEURONAL TUMOR","Glioneuronal Tumor","NCIT:C4747","NCIT",NA,NA,NA
"B-PROLYMPHOCYTIC_LEUKEMIA","B-Cell Prolymphocytic Leukemia","NCIT:C4753","NCIT",NA,NA,NA
"CARCINOMA WITH CHONDROID METAPLASIA","Breast Carcinoma with Chondroid Metaplasia","NCIT:C47847","NCIT",NA,NA,NA
"CARCINOMA WITH OSSEOUS METAPLASIA","Breast Carcinoma with Osseous Metaplasia","NCIT:C47848","NCIT",NA,NA,NA
"THYROID CANCER","Thyroid Gland Carcinoma","NCIT:C4815","NCIT",NA,NA,NA
"THYROID CANCER, NOS","Thyroid Gland Carcinoma","NCIT:C4815","NCIT",NA,NA,NA
"THCA","Thyroid Gland Carcinoma","NCIT:C4815","NCIT",NA,NA,NA
"THYROID CARCINOMA","Thyroid Gland Carcinoma","NCIT:C4815","NCIT",NA,NA,NA
"THYROID_CARCINOMA","Thyroid Gland Carcinoma","NCIT:C4815","NCIT",NA,NA,NA
"THYROID CARCINOMA OTHER","Thyroid Gland Carcinoma","NCIT:C4815","NCIT",NA,NA,NA
"EWING SARCOMA","Ewing Sarcoma","NCIT:C4817","NCIT",NA,NA,NA
"EWING'S SARCOMA","Ewing Sarcoma","NCIT:C4817","NCIT",NA,NA,NA
"ES","Ewing Sarcoma","NCIT:C4817","NCIT",NA,NA,NA
"EWINGS SARCOMA","Ewing Sarcoma","NCIT:C4817","NCIT",NA,NA,NA
"EWING_SARCOMA","Ewing Sarcoma","NCIT:C4817","NCIT",NA,NA,NA
"EWINGS_SARCOMA","Ewing Sarcoma","NCIT:C4817","NCIT",NA,NA,NA
"NO_FUSION","Ewing Sarcoma","NCIT:C4817","NCIT",NA,NA,NA
"CUTANEOUS SQUAMOUS CELL CARCINOMA","Skin Squamous Cell Carcinoma","NCIT:C4819","NCIT",NA,NA,NA
"CUTANEOUS SQUAMOUS CELL","Skin Squamous Cell Carcinoma","NCIT:C4819","NCIT",NA,NA,NA
"SKIN_SQUAMOUS","Skin Squamous Cell Carcinoma","NCIT:C4819","NCIT",NA,NA,NA
"CSCC","Skin Squamous Cell Carcinoma","NCIT:C4819","NCIT",NA,NA,NA
"HIGH-GRADE GLIOMA, NOS","Malignant Glioma","NCIT:C4822","NCIT",NA,NA,NA
"HGGNOS","Malignant Glioma","NCIT:C4822","NCIT",NA,NA,NA
"ORAL CAVITY SQUAMOUS CELL CARCINOMA","Oral Cavity Squamous Cell Carcinoma","NCIT:C4833","NCIT",NA,NA,NA
"SQUAMOUS CELL CARCINOMA, ORAL","Oral Cavity Squamous Cell Carcinoma","NCIT:C4833","NCIT",NA,NA,NA
"PARAGANGLIOMA; EXTRA-ADRENAL PHEOCHROMOCYTOMA","Extra-Adrenal Sympathetic Paraganglioma","NCIT:C48576","NCIT",NA,NA,NA
"EXTRA-ADRENAL PHEOCHROMOCYTOMA","Extra-Adrenal Sympathetic Paraganglioma","NCIT:C48576","NCIT",NA,NA,NA
"ACUTE_MONOCYTIC_LEUKEMIA","Acute Monocytic Leukemia","NCIT:C4861","NCIT",NA,NA,NA
"NEUROTROPIC","Desmoplastic Neurotropic Melanoma","NCIT:C48614","NCIT",NA,NA,NA
"PROSTATE CANCER","Prostate Carcinoma","NCIT:C4863","NCIT",NA,NA,NA
"PROSTATE CANCER, NOS","Prostate Carcinoma","NCIT:C4863","NCIT",NA,NA,NA
"PROSTATE_CANCER","Prostate Carcinoma","NCIT:C4863","NCIT",NA,NA,NA
"CARCINOMA, VULVAR","Vulvar Carcinoma","NCIT:C4866","NCIT",NA,NA,NA
"SOFT TISSUE CANCER, NOS","Malignant Soft Tissue Neoplasm","NCIT:C4867","NCIT",NA,NA,NA
"BREAST CANCER","Breast Carcinoma","NCIT:C4872","NCIT",NA,NA,NA
"BREAST CANCER, NOS","Breast Carcinoma","NCIT:C4872","NCIT",NA,NA,NA
"BREAST CARCINOMA","Breast Carcinoma","NCIT:C4872","NCIT",NA,NA,NA
"BREAST_CANCER","Breast Carcinoma","NCIT:C4872","NCIT",NA,NA,NA
"BREAST_CARCINOMA","Breast Carcinoma","NCIT:C4872","NCIT",NA,NA,NA
"BREAST CARCINOMA OTHER","Breast Carcinoma","NCIT:C4872","NCIT",NA,NA,NA
"BRCA","Breast Carcinoma","NCIT:C4872","NCIT",NA,NA,NA
"BRCA_NORMAL","Breast Carcinoma","NCIT:C4872","NCIT",NA,NA,NA
"LUNG CANCER","Lung Carcinoma","NCIT:C4878","NCIT",NA,NA,NA
"LUNG CANCER, NOS","Lung Carcinoma","NCIT:C4878","NCIT",NA,NA,NA
"LUNG_CANCER","Lung Carcinoma","NCIT:C4878","NCIT",NA,NA,NA
"LUNG_CARCINOMA","Lung Carcinoma","NCIT:C4878","NCIT",NA,NA,NA
"MYXOINFLAMMATORY FIBROBLASTIC SARCOMA","Myxoinflammatory Fibroblastic Sarcoma","NCIT:C49025","NCIT",NA,NA,NA
"SCLEROSING EPITHELIOID FIBROSARCOMA","Sclerosing Epithelioid Fibrosarcoma","NCIT:C49027","NCIT",NA,NA,NA
"EPITHELIOID FIBROSARCOMA","Sclerosing Epithelioid Fibrosarcoma","NCIT:C49027","NCIT",NA,NA,NA
"OVARIAN CANCER","Ovarian Carcinoma","NCIT:C4908","NCIT",NA,NA,NA
"OVARIAN CARCINOMA","Ovarian Carcinoma","NCIT:C4908","NCIT",NA,NA,NA
"OVARIAN EPITHELIAL CARCINOMA OVCA","Ovarian Carcinoma","NCIT:C4908","NCIT",NA,NA,NA
"OVARIAN_CANCER","Ovarian Carcinoma","NCIT:C4908","NCIT",NA,NA,NA
"OVARIAN_CARCINOMA","Ovarian Carcinoma","NCIT:C4908","NCIT",NA,NA,NA
"OVARIAN CANCER, OTHER","Ovarian Carcinoma","NCIT:C4908","NCIT",NA,NA,NA
"OVARIAN CARCINOMA OTHER","Ovarian Carcinoma","NCIT:C4908","NCIT",NA,NA,NA
"OVARY_CARCINOMA","Ovarian Carcinoma","NCIT:C4908","NCIT",NA,NA,NA
"OV","Ovarian Carcinoma","NCIT:C4908","NCIT",NA,NA,NA
"COLON CANCER","Colon Carcinoma","NCIT:C4910","NCIT",NA,NA,NA
"COLON CARCINOMA","Colon Carcinoma","NCIT:C4910","NCIT",NA,NA,NA
"COLON_CANCER","Colon Carcinoma","NCIT:C4910","NCIT",NA,NA,NA
"COLON_CARCINOMA","Colon Carcinoma","NCIT:C4910","NCIT",NA,NA,NA
"STOMACH CANCER","Gastric Carcinoma","NCIT:C4911","NCIT",NA,NA,NA
"GASTRIC CANCER","Gastric Carcinoma","NCIT:C4911","NCIT",NA,NA,NA
"GASTRIC_CANCER","Gastric Carcinoma","NCIT:C4911","NCIT",NA,NA,NA
"GASTRIC CARCINOMA OTHER","Gastric Carcinoma","NCIT:C4911","NCIT",NA,NA,NA
"BLADDER CANCER","Bladder Carcinoma","NCIT:C4912","NCIT",NA,NA,NA
"BLADDER_CANCER","Bladder Carcinoma","NCIT:C4912","NCIT",NA,NA,NA
"BLADDER_CARCINOMA","Bladder Carcinoma","NCIT:C4912","NCIT",NA,NA,NA
"SKIN CANCER, NON-MELANOMA","Skin Carcinoma","NCIT:C4914","NCIT",NA,NA,NA
"EPENDYMOBLASTOMA","Embryonal Tumor with Multilayered Rosettes, C19MC-Altered","NCIT:C4915","NCIT",NA,NA,NA
"EMBRYONAL TUMOR WITH ABUNDANT NEUROPIL AND TRUE ROSETTES","Embryonal Tumor with Multilayered Rosettes, C19MC-Altered","NCIT:C4915","NCIT",NA,NA,NA
