original_value,curated_ontology,match_level,top_results
CNS DISEASE,Central Nervous System Disorder,1,Central Nervous System Disorder (Score: 0.9488);Central Nervous System (Score: 0.9193);Central Nervous System Neoplasm (Score: 0.9143);Malignant Central Nervous System Neoplasm (Score: 0.9060);Primary Diffuse Large B-Cell Lymphoma of the Central Nervous System (Score: 0.9005)
AMELANOTIC,Amelanotic Melanoma,1,Amelanotic Melanoma (Score: 0.9788);Myxoma (Score: 0.8869);Keratoacanthoma (Score: 0.8788);Endometrioid Adenocarcinoma (Score: 0.8778);Acute Megakaryoblastic Leukemia (Score: 0.8773)
ACUTE MYELOGENOUS LEUKEMIA M5A,Acute Monoblastic and Monocytic Leukemia,0,Acute Myeloid Leukemia (Score: 0.9519);Acute Myelomonocytic Leukemia (Score: 0.9478);Acute Monocytic Leukemia (Score: 0.9402);Acute Myeloid Leukemia with Maturation (Score: 0.9292);Acute Myeloid Leukemia Not Otherwise Specified (Score: 0.9272)
BLADDER_TRANSITIONAL_CELL,Bladder Urothelial Cell,2,"Transitional Cells (Score: 0.9580);Bladder Urothelial Cell (Score: 0.9570);Transitional Cell Carcinoma (Score: 0.9450);Kidney Carcinoma, Transitional Cells (Score: 0.9374);Papillary Transitional Cell Carcinoma (Score: 0.9242)"
DISTANT,Distant,1,"Distant (Score: 1.0000);Distant Metastasis (Score: 0.9299);Distal (Score: 0.9186);Recurrent Disease, Distant Site (Score: 0.8961);Extrahepatic (Score: 0.8688)"
EPITHELIOID_SARCOMA,Epithelioid Sarcoma,1,Epithelioid Sarcoma (Score: 0.9893);Epithelioid Mesothelioma (Score: 0.9513);Epithelioid Cell (Score: 0.9421);Sclerosing Epithelioid Fibrosarcoma (Score: 0.9358);Epithelioid Hemangioendothelioma (Score: 0.9356)
APL WITH PML-RARA,Acute Promyelocytic Leukemia with PML-RARA,1,Acute Promyelocytic Leukemia with PML-RARA (Score: 0.9679);Acute Promyelocytic Leukemia with t(15;17)(q24.1;q21.2); PML-RARA (Score: 0.9438);PML-RARA Fusion Protein Expression (Score: 0.9374);Acute Myeloid Leukemia with MLL Rearrangement (Score: 0.9046);Acute Myeloid Leukemia with t(9;11)(p21.3;q23.3); MLLT3-KMT2A (Score: 0.8950)
"CYSTADENOCARCINOMA, CLEAR CELL",Ovarian Clear Cell Cystadenocarcinoma,1,Ovarian Clear Cell Cystadenocarcinoma (Score: 0.9758);Cystadenocarcinoma (Score: 0.9558);Clear Cell Adenocarcinoma (Score: 0.9398);Adenocarcinoma Clear Cell (Score: 0.9383);Clear Cell Renal Cell Carcinoma (Score: 0.9381)
"SQUAMOUS CELL CARCINOMA, VULVAR",Vulvar Squamous Cell Carcinoma,1,Vulvar Squamous Cell Carcinoma (Score: 0.9942);Vaginal Squamous Cell Carcinoma (Score: 0.9734);Vulvar Carcinoma (Score: 0.9679);Squamous Cell Carcinoma (Score: 0.9658);Cervical Squamous Cell Carcinoma (Score: 0.9618)
ACTIVATED B-CELL TYPE,Diffuse Large B-Cell Lymphoma Activated B-Cell Type,2,Activated B-Cell Positive (Score: 0.9688);Diffuse Large B-Cell Lymphoma Activated B-Cell Type (Score: 0.9504);B-Lymphocyte (Score: 0.9305);Diffuse Large B-Cell Lymphoma Germinal Center B-Cell Type (Score: 0.9047);Mature B-Cell Neoplasm (Score: 0.9044)
BASALOID PENILE SQUAMOUS CELL CARCINOMA,Basaloid Squamous Cell Carcinoma of the Penis,1,Basaloid Squamous Cell Carcinoma of the Penis (Score: 0.9880);Basal Cell Carcinoma (Score: 0.9584);Squamous Cell Carcinoma of the Penis (Score: 0.9541);Head and Neck Basaloid Carcinoma (Score: 0.9484);Pharyngeal Squamous Cell Carcinoma (Score: 0.9420)
CARCINOMA,Carcinoma,1,Carcinoma (Score: 1.0000);Breast Carcinoma (Score: 0.9618);Cervical Carcinoma (Score: 0.9585);Colon Carcinoma (Score: 0.9573);Lung Carcinoma (Score: 0.9562)
PAPILLARY RENAL CELL CARCINOMA,Papillary Renal Cell Carcinoma,1,Papillary Renal Cell Carcinoma (Score: 1.0000);Clear Cell Papillary Renal Neoplasm (Score: 0.9751);Papillary Carcinoma (Score: 0.9710);Papillary Transitional Cell Carcinoma (Score: 0.9647);Renal Cell Carcinoma (Score: 0.9634)
ENDOMETRIAL SQUAMOUS CELL CARCINOMA,Endometrial Squamous Cell Carcinoma,1,Endometrial Squamous Cell Carcinoma (Score: 1.0000);Esophageal Squamous Cell Carcinoma (Score: 0.9669);Cervical Squamous Cell Carcinoma (Score: 0.9644);Endometrial Carcinoma (Score: 0.9642);Squamous Cell Carcinoma (Score: 0.9621)
SEROUS ENDOMETRIAL ADENOCARCINOMA,Endometrial Serous Adenocarcinoma,1,Endometrial Serous Adenocarcinoma (Score: 0.9986);Serous Adenocarcinoma (Score: 0.9803);Ovarian Serous Adenocarcinoma (Score: 0.9735);Endometrial Endometrioid Adenocarcinoma (Score: 0.9600);Endometrial Adenocarcinoma (Score: 0.9584)
SEROUS CYSTADENOMA OF THE PANCREAS,Pancreatic Serous Cystadenoma,1,Pancreatic Serous Cystadenoma (Score: 0.9850);Serous Cystadenocarcinoma (Score: 0.9622);Papillary Serous Cystadenocarcinoma (Score: 0.9532);Pancreatic Mucinous-Cystic Neoplasm (Score: 0.9343);Cystadenocarcinoma (Score: 0.9322)
AML WITH T(6;9)(P23;Q34); DEK-NUP214,Acute Myeloid Leukemia with t(6;9)(p22.3;q34.1); DEK-NUP214,1,Acute Myeloid Leukemia with t(6;9)(p22.3;q34.1); DEK-NUP214 (Score: 0.9871);Acute Myeloid Leukemia with t(6;9) (p23;q34.1); DEK-NUP214 (Score: 0.9868);Acute Myeloid Leukemia with t(8;21)(q22; q22.1); RUNX1-RUNX1T1 (Score: 0.9638);Acute Myeloid Leukemia with t(8;21); (q22; q22.1); RUNX1-RUNX1T1 (Score: 0.9634);Acute Myeloid Leukemia with t(9;11)(p21.3;q23.3); MLLT3-MLL (Score: 0.9590)
OVARIAN LOW-GRADE SEROUS,Ovarian Low Grade Serous Adenocarcinoma,1,Ovarian Low Grade Serous Adenocarcinoma (Score: 0.9855);Ovarian High Grade Serous Adenocarcinoma (Score: 0.9696);Fallopian Tube High Grade Serous Adenocarcinoma (Score: 0.9406);Ovarian Serous Adenocarcinoma (Score: 0.9404);Borderline Ovarian Serous Tumor (Score: 0.9346)
ENDOMETRIOID_CARCINOMA,Endometrioid Adenocarcinoma,1,Endometrioid Adenocarcinoma (Score: 0.9793);Endometrioid Tumor (Score: 0.9765);Endometrial Endometrioid Adenocarcinoma (Score: 0.9752);Cervical Endometrioid Adenocarcinoma (Score: 0.9713);Ovarian Endometrioid Adenocarcinoma (Score: 0.9689)
CARCINOMA SMALL CELL,Small Cell Neuroendocrine Carcinoma,3,Lung Small Cell Carcinoma (Score: 0.9687);Small Cell Adenocarcinoma (Score: 0.9638);Small Cell Neuroendocrine Carcinoma (Score: 0.9619);Non-Small Cell Carcinoma (Score: 0.9558);Ovarian Small Cell Carcinoma (Score: 0.9536)
NEUROENDOCRINE TUMOR,Neuroendocrine Tumor,1,Neuroendocrine Tumor (Score: 1.0000);Neuroendocrine Neoplasm (Score: 0.9807);Pancreatic Neuroendocrine Tumor (Score: 0.9730);Neuroendocrine Carcinoma (Score: 0.9713);Esophageal Neuroendocrine Tumor (Score: 0.9706)
MUCINOUS FEATURES; SIGNET RING FEATURES,Signet Ring Cell<;>Mucinous,0,Pancreatic Signet Ring Cell Carcinoma (Score: 0.9188);Signet Ring Cell Carcinoma (Score: 0.9183);Signet Ring Adenocarcinoma Cell (Score: 0.9137);Colon Signet Ring Cell Adenocarcinoma (Score: 0.9122);Gastric Signet Ring Cell Adenocarcinoma (Score: 0.9119)
ACUTE MYELOID LEUKAEMIA AML AND RELATED PRECURSOR NEOPLASMS,Acute Myeloid Leukemia,1,Acute Myeloid Leukemia (Score: 0.9535);Acute Myeloid Leukemia Not Otherwise Specified (Score: 0.9405);Myeloid Neoplasm (Score: 0.9397);Acute Myeloid Leukemia with MLL Rearrangement (Score: 0.9396);Acute Myeloid Leukemia with Myelodysplasia-Related Changes (Score: 0.9382)
"BREAST CANCER, NOS",Breast Carcinoma,1,Breast Carcinoma (Score: 0.9345);Breast Neoplasm (Score: 0.9295);Breast Ductal Carcinoma (Score: 0.9289);Invasive Breast Carcinoma (Score: 0.9184);Breast (Score: 0.9182)
MUCINOUS COLLOID ADENOCARCINOMA,Gastric Mucinous Adenocarcinoma,0,Mucinous Adenocarcinoma (Score: 0.9545);Lung Colloid Adenocarcinoma (Score: 0.9510);Pancreatic Colloid Carcinoma (Score: 0.9429);Colon Mucinous Adenocarcinoma (Score: 0.9402);Breast Mucinous Carcinoma (Score: 0.9398)
AML WITH T(9;11)(P22;Q23); MLLT3-MLL,Acute Myeloid Leukemia with t(9;11)(p21.3;q23.3); MLLT3-KMT2A,2,Acute Myeloid Leukemia with t(9;11)(p21.3;q23.3); MLLT3-MLL (Score: 0.9884);Acute Myeloid Leukemia with t(9;11)(p21.3;q23.3); MLLT3-KMT2A (Score: 0.9840);Acute Myeloid Leukemia with t(8;21); (q22; q22.1); RUNX1-RUNX1T1 (Score: 0.9699);Acute Myeloid Leukemia with t(8;21)(q22; q22.1); RUNX1-RUNX1T1 (Score: 0.9697);Acute Myeloid Leukemia with inv(16)(p13.1q22) or t(16;16)(p13.1;q22); CBFB-MYH11 (Score: 0.9625)
BRCA_HER2,HER2-Positive Breast Carcinoma,1,HER2-Positive Breast Carcinoma (Score: 0.9490);HER2/Neu Positive (Score: 0.9358);HER2/Neu Negative (Score: 0.9243);Breast (Score: 0.9174);Breast Carcinoma (Score: 0.9114)
NON-SEMINOMATOUS GERM CELL TUMO,Nongerminomatous Germ Cell Tumor,4,Testicular Non-Seminomatous Germ Cell Tumor (Score: 0.9699);Testicular Germ Cell Tumor (Score: 0.9298);Testicular Seminoma (Score: 0.9289);Nongerminomatous Germ Cell Tumor (Score: 0.9277);Germ Cell Tumor (Score: 0.9273)
AML WITH T6;9P23;Q34; DEK-NUP214,Acute Myeloid Leukemia with t(6;9) (p23;q34.1); DEK-NUP214,2,Acute Myeloid Leukemia with t(6;9)(p22.3;q34.1); DEK-NUP214 (Score: 0.9744);Acute Myeloid Leukemia with t(6;9) (p23;q34.1); DEK-NUP214 (Score: 0.9737);Acute Myeloid Leukemia with t(8;21)(q22; q22.1); RUNX1-RUNX1T1 (Score: 0.9514);Acute Myeloid Leukemia with t(8;21); (q22; q22.1); RUNX1-RUNX1T1 (Score: 0.9507);Acute Myeloid Leukemia with t(9;11)(p21.3;q23.3); MLLT3-MLL (Score: 0.9487)
AML-MDS,Acute Myeloid Leukemia<;>Myelodysplastic Syndrome,0,Myelodysplastic Syndrome with Excess Blasts-1 (Score: 0.9219);Acute Myeloid Leukemia with Multilineage Dysplasia (Score: 0.9217);Acute Myeloid Leukemia with Mutated RUNX1 (Score: 0.9207);Acute Myeloid Leukemia with inv(16)(p13.1q22) or t(16;16)(p13.1;q22); CBFB-MYH11 (Score: 0.9192);Myelodysplastic Syndrome with Excess Blasts-2 (Score: 0.9189)
READ_MSI,Rectal Adenocarcinoma<;>Microsatellite Instability,0,Melanoma (Score: 0.8759);Rectum (Score: 0.8680);Hypermutated Colorectal Carcinoma (Score: 0.8590);Metastatic (Score: 0.8560);Metastasis (Score: 0.8555)
NO_FUSION,Ewing Sarcoma,0,Fusion-Negative Rhabdomyosarcoma (Score: 0.9024);Fusion-Positive Rhabdomyosarcoma (Score: 0.8776);Round Cell Sarcoma with EWSR1-non-ETS Fusion (Score: 0.8685);Not Otherwise Specified (Score: 0.8649);Fibromatosis (Score: 0.8630)
SMALL CELL CARCINOMA OF  GALLBLADDER,Gallbladder Small Cell Neuroendocrine Carcinoma,1,Gallbladder Small Cell Neuroendocrine Carcinoma (Score: 0.9805);Gallbladder Large Cell Neuroendocrine Carcinoma (Score: 0.9579);Gallbladder Carcinoma (Score: 0.9541);Gastric Small Cell Neuroendocrine Carcinoma (Score: 0.9526);Gallbladder Squamous Cell Carcinoma (Score: 0.9428)
IDC HR-HER2+,Invasive Breast Carcinoma of No Special Type<;>Hormone Receptor-Negative Breast Carcinoma<;>HER2/Neu Positive,0,HER2-Positive Breast Carcinoma (Score: 0.9344);HER2/Neu Positive (Score: 0.9184);Hormone Receptor-Positive Breast Carcinoma (Score: 0.9162);Hormone Receptor-Negative Breast Carcinoma (Score: 0.9134);HER2/Neu Negative (Score: 0.9122)
LGG,Low Grade Glioma,3,Glioma (Score: 0.9019);Ganglioglioma (Score: 0.8936);Low Grade Glioma (Score: 0.8914);Gastric (Score: 0.8820);Giant Cell (Score: 0.8778)
GINGIVAL,Gingiva,1,Gingiva (Score: 0.9524);Gingival Carcinoma (Score: 0.9261);Salivary Gland (Score: 0.9026);Gastric (Score: 0.8958);Oral (Score: 0.8789)
POORLY_COHESIVE,Gastric Poorly Cohesive Adenocarcinoma,1,Gastric Poorly Cohesive Adenocarcinoma (Score: 0.9241);Poorly Differentiated (Score: 0.9155);Poorly Differentiated Adenocarcinoma (Score: 0.8946);Poorly Differentiated Adenocarcinoma Cell (Score: 0.8878);Poorly Differentiated Thyroid Gland Carcinoma (Score: 0.8733)
RESIDUAL NODAL DISEASE,Residual Nodal Disease,1,"Residual Nodal Disease (Score: 1.0000);Metastatic Malignant Neoplasm in the Regional Lymph Nodes (Score: 0.8997);Neoplasm Recurrence, Local (Score: 0.8989);Recurrent Disease, Distant Site (Score: 0.8969);Metastatic Malignant Neoplasm in the Lymph Nodes (Score: 0.8897)"
LUNG_CARCINOMA,Lung Carcinoma,1,Lung Carcinoma (Score: 0.9922);Lung Pleomorphic Carcinoma (Score: 0.9604);Lung Squamous Cell Carcinoma (Score: 0.9592);Lung Large Cell Carcinoma (Score: 0.9579);Lung Neoplasm (Score: 0.9562)
PANCREAS-ADENOCARCINOMA DUCTAL TYPE,Pancreatic Ductal Adenocarcinoma,1,Pancreatic Ductal Adenocarcinoma (Score: 0.9680);Pancreatic Moderately Differentiated Ductal Adenocarcinoma (Score: 0.9569);Pancreatic Adenocarcinoma (Score: 0.9516);Prostate Ductal Adenocarcinoma (Score: 0.9444);Ampulla of Vater Pancreatobiliary Type Adenocarcinoma (Score: 0.9428)
"DIFFUSE MIDLINE GLIOMA, H3K27M MUTANT","Diffuse Midline Glioma, H3 K27M-Mutant",1,"Diffuse Midline Glioma, H3 K27M-Mutant (Score: 0.9715);Diffuse Midline Glioma (Score: 0.9324);Astrocytoma, IDH-Mutant, Grade 3 (Score: 0.9160);Anaplastic Oligodendroglioma, IDH-Mutant and 1p/19q-Codeleted (Score: 0.9129);Astrocytoma, IDH-Mutant, Grade 2 (Score: 0.9121)"
M6,Acute Erythroid Leukemia,0,Metastatic (Score: 0.8640);Mesothelioma (Score: 0.8602);Mesenchymal (Score: 0.8592);Metastasis (Score: 0.8569);Melanoma (Score: 0.8556)
M0,Acute Myeloid Leukemia with Minimal Differentiation,0,Metastatic (Score: 0.8621);Melanoma (Score: 0.8601);Metastasis (Score: 0.8589);Acute Monoblastic and Monocytic Leukemia (Score: 0.8542);Myxoma (Score: 0.8536)
ORAL CAVITY SQUAMOUS CELL CARCINOMA,Oral Cavity Squamous Cell Carcinoma,1,Oral Cavity Squamous Cell Carcinoma (Score: 1.0000);Squamous Cell Carcinoma (Score: 0.9706);Tongue Squamous Cell Carcinoma (Score: 0.9694);Buccal Mucosa Squamous Cell Carcinoma (Score: 0.9672);Laryngeal Squamous Cell Carcinoma (Score: 0.9661)
IMMORTALIZED_EMBRYONIC_FIBROBLAST,immortal embryo-derived fibroblast cell line cell,1,immortal embryo-derived fibroblast cell line cell (Score: 0.9543);immortal fibroblast cell line cell (Score: 0.9225);fibroblast of lung (Score: 0.9012);Fibroblast (Score: 0.9004);Skin Fibroblastic Neoplasm (Score: 0.8970)
MUCOSAL MELANOMA OF THE ESOPHAGUS,Esophageal Melanoma,1,Esophageal Melanoma (Score: 0.9649);Mucosal Melanoma (Score: 0.9559);Mucosal Melanoma of the Head and Neck (Score: 0.9538);Melanoma (Score: 0.9247);Ocular Melanoma (Score: 0.9179)
NON-SEMINOMA; EMBRYONAL CARCINOMA,Embryonal Carcinoma<;>Nonseminomatous,0,"Testicular Non-Seminomatous Germ Cell Tumor (Score: 0.9530);Embryonal Carcinoma (Score: 0.9436);Central Nervous System Embryonal Tumor, Not Otherwise Specified (Score: 0.9433);Embryonal Neoplasm (Score: 0.9342);Embryonal Rhabdomyosarcoma (Score: 0.9295)"
ENDOMETRIAL_ADENOCARCINOMA,Endometrial Adenocarcinoma,1,Endometrial Adenocarcinoma (Score: 0.9930);Endometrial Endometrioid Adenocarcinoma (Score: 0.9718);Endometrial Carcinoma (Score: 0.9645);Endometrioid Adenocarcinoma (Score: 0.9603);Endometrial Serous Adenocarcinoma (Score: 0.9599)
MALIGNANT MELANOTIC MELANOMA,Melanoma,2,Malignant Skin Neoplasm (Score: 0.9390);Melanoma (Score: 0.9358);Melanotic Schwannoma (Score: 0.9293);Mucosal Melanoma (Score: 0.9287);Malignant Myoepithelioma (Score: 0.9232)
"ADENOCARCINOMA, MIXED",Mixed Cell Adenocarcinoma,1,"Mixed Cell Adenocarcinoma (Score: 0.9779);Lung Adenocarcinoma, Mixed Subtype (Score: 0.9704);Adenocarcinoma (Score: 0.9493);Mixed Carcinoma (Score: 0.9493);Pancreatic Mixed Acinar-Ductal Carcinoma (Score: 0.9434)"
RENAL SPINDLE CELL CARCINOMA,Sarcomatoid Carcinoma,0,Renal Cell Carcinoma (Score: 0.9599);Sarcomatoid Renal Cell Carcinoma (Score: 0.9507);Mucinous Tubular and Spindle Cell Carcinoma of the Kidney (Score: 0.9501);Lung Spindle Cell Carcinoma (Score: 0.9465);Spindle Cell Neoplasm (Score: 0.9461)
ESCA_CIN,Esophageal Adenocarcinoma<;>Chromosomal Instability,0,Endometrial Squamous Cell Carcinoma (Score: 0.8763);Endometrial Carcinoma (Score: 0.8763);Cervical Squamous Cell Carcinoma (Score: 0.8751);Eccrine Carcinoma (Score: 0.8729);Endometrial Dedifferentiated Carcinoma (Score: 0.8722)
MIXED CARCINOMA,Mixed Carcinoma,1,Mixed Carcinoma (Score: 1.0000);Mixed Cell Adenocarcinoma (Score: 0.9612);Breast Mixed Epithelial/Mesenchymal Metaplastic Carcinoma (Score: 0.9503);Breast Mixed Ductal and Lobular Carcinoma (Score: 0.9487);ovary mixed epithelial carcinoma (Score: 0.9461)
PROSTATE_CANCER,Prostate Carcinoma,1,Prostate Carcinoma (Score: 0.9679);Prostate Adenocarcinoma (Score: 0.9563);Prostate Squamous Cell Carcinoma (Score: 0.9411);Prostate Neuroendocrine Carcinoma (Score: 0.9400);Metastatic Prostate Carcinoma (Score: 0.9357)
"MDS/MPN, UNCLASSIFIABLE","Myelodysplastic/Myeloproliferative Neoplasm, Unclassifiable",1,"Myelodysplastic/Myeloproliferative Neoplasm, Unclassifiable (Score: 0.9632);Myelodysplastic Syndrome, Unclassifiable (Score: 0.9615);Myelodysplastic/Myeloproliferative Neoplasm (Score: 0.9278);Unclassified (Score: 0.9109);Myelodysplastic Syndrome (Score: 0.9089)"
WELL-DIFFERENTIATED NEUROENDOCRINE TUMORS OF THE STOMACH,Gastric Neuroendocrine Tumor,1,Gastric Neuroendocrine Tumor (Score: 0.9602);Gastric Small Cell Neuroendocrine Carcinoma (Score: 0.9471);Gallbladder Neuroendocrine Tumor (Score: 0.9373);Esophageal Neuroendocrine Tumor (Score: 0.9359);Gallbladder Large Cell Neuroendocrine Carcinoma (Score: 0.9347)
POORLY DIFFERENTIATED NEC,Neuroendocrine Carcinoma<;>Poorly Differentiated,0,Poorly Differentiated (Score: 0.9477);Poorly Differentiated Adenocarcinoma (Score: 0.9234);Poorly Differentiated Adenocarcinoma Cell (Score: 0.9176);Well Differentiated (Score: 0.9109);Adenocarcinoma with Neuroendocrine Differentiation (Score: 0.9068)
PROGRESSIVE FIRST HGG RECORD,Malignant Glioma<;>Progressive,0,Progressive (Score: 0.8957);First Relapse (Score: 0.8624);Recurrent Malignant Glioma (Score: 0.8574);High Grade (Score: 0.8538);22)(q34.1 (Score: 0.8537)
SEROUS BORDERLINE OVARIAN TUMOR,Borderline Ovarian Serous Tumor,1,Borderline Ovarian Serous Tumor (Score: 0.9976);Borderline Ovarian Clear Cell Tumor (Score: 0.9552);Borderline Ovarian Serous Tumor-Micropapillary Variant (Score: 0.9520);Ovarian Serous Adenocarcinoma (Score: 0.9470);Ovarian High Grade Serous Adenocarcinoma (Score: 0.9398)
THYMOMA; TYPE B2THYMOMA; TYPE B3,Thymoma Type B2<;>Thymoma Type B3,0,Thymoma Type B3 (Score: 0.9693);Thymoma Type B2 (Score: 0.9685);Thymoma Type A (Score: 0.9488);Thymoma Type B1 (Score: 0.9476);Thymoma Type AB (Score: 0.9474)
LYMPHOID NEOPLASM,Lymphocytic Neoplasm,1,Lymphocytic Neoplasm (Score: 0.9588);Hematopoietic and Lymphoid Cell Neoplasm (Score: 0.9578);Lymphoid Leukemia (Score: 0.9463);Lymphoid (Score: 0.9415);B-Cell Neoplasm (Score: 0.9409)
MASTOCYTOSIS,Mastocytosis,1,Mastocytosis (Score: 1.0000);Systemic Mastocytosis (Score: 0.9480);Histiocytosis (Score: 0.9103);Melanoma (Score: 0.9073);Langerhans Cell Histiocytosis (Score: 0.8956)
STAD_EBV,Gastric Adenocarcinoma<;>Epstein-Barr Virus,0,EBV-Related Lymphoma (Score: 0.8789);Epstein-Barr Virus (Score: 0.8708);ETV4 Gene (Score: 0.8604);Post-Transplant Lymphoproliferative Disorder (Score: 0.8602);Angiosarcoma (Score: 0.8588)
RHABDOID_TUMOUR,Rhabdoid Tumor,1,Rhabdoid Tumor (Score: 0.9836);Atypical Teratoid/Rhabdoid Tumor (Score: 0.9351);Extrarenal Rhabdoid Tumor (Score: 0.9330);Rectal Neuroendocrine Tumor (Score: 0.9084);Rhabdomyosarcoma (Score: 0.9061)
LIVER HEPATOCELLULAR CARCINOMA PLUS INTRAHEPATIC CHOLANGIOCARCINOMA,Hepatocellular Carcinoma<;>Intrahepatic Cholangiocarcinoma,0,Liver and Intrahepatic Bile Duct Carcinoma (Score: 0.9710);Combined Hepatocellular Carcinoma and Cholangiocarcinoma (Score: 0.9701);Intrahepatic Cholangiocarcinoma (Score: 0.9644);Liver and Intrahepatic Bile Duct Neoplasm (Score: 0.9569);Hepatocellular Carcinoma (Score: 0.9383)
FIBROLAMELLAR CARCINOMA,Fibrolamellar Carcinoma,1,Fibrolamellar Carcinoma (Score: 1.0000);Hepatocellular Carcinoma (Score: 0.9243);Pleomorphic Hepatocellular Carcinoma (Score: 0.9182);Nasopharyngeal Carcinoma (Score: 0.9129);Plexiform Fibrohistiocytic Tumor (Score: 0.9109)
"ATYPICAL CHRONIC MYELOID LEUKEMIA, BCR-ABL1-","Atypical Chronic Myeloid Leukemia, BCR-ABL1 Negative",1,"Atypical Chronic Myeloid Leukemia, BCR-ABL1 Negative (Score: 0.9809);Atypical Chronic Myeloid Leukemia (Score: 0.9675);Chronic Myelogenous Leukemia, BCR-ABL1 Positive (Score: 0.9540);B Lymphoblastic Leukemia/Lymphoma, BCR-ABL1-Like (Score: 0.9425);Blast Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive (Score: 0.9414)"
"HIGH-GRADE B-CELL LYMPHOMA, WITH MYC AND BCL2 AND/OR BCL6 REARRANGEMENTS",High Grade B-Cell Lymphoma with MYC and BCL2 or BCL6 Rearrangements,1,"High Grade B-Cell Lymphoma with MYC and BCL2 or BCL6 Rearrangements (Score: 0.9976);High Grade B-Cell Lymphoma, Not Otherwise Specified (Score: 0.9462);B Lymphoblastic Leukemia/Lymphoma with t(9;22)(q34.1;q11.2); BCR-ABL1 (Score: 0.9345);B Lymphoblastic Leukemia/Lymphoma, BCR-ABL1-Like (Score: 0.9295);T-Cell/Histiocyte-Rich Large B-Cell Lymphoma (Score: 0.9289)"
"GLIOBLASTOMA, IDH-WILDTPYE","Glioblastoma, IDH-Wildtype",1,"Glioblastoma, IDH-Wildtype (Score: 0.9761);Astrocytoma, IDH-Mutant, Grade 3 (Score: 0.9476);Astrocytoma, IDH-Mutant, Grade 2 (Score: 0.9457);Astrocytoma, IDH-Mutant, Grade 4 (Score: 0.9445);Anaplastic Astrocytoma, IDH-Wildtype (Score: 0.9430)"
THYM,Thymoma,1,Thymoma (Score: 0.9470);Thymoma Type A (Score: 0.9135);Thymoma Type AB (Score: 0.9076);T-Lymphocyte (Score: 0.9031);Thymoma Type B3 (Score: 0.8982)
SELLAR TUMOR,Sellar Region Neoplasm,1,Sellar Region Neoplasm (Score: 0.9489);Pituitary Neuroendocrine Tumor (Score: 0.9196);Brain Neoplasm (Score: 0.9103);Rhabdoid Tumor (Score: 0.9050);Neuroendocrine Tumor (Score: 0.9008)
CRIBRIFORM/TUBULAR,Breast Tubular Carcinoma<;>Cribriform,0,Cribriform (Score: 0.9567);Cribriform Pattern (Score: 0.9291);Tubular (Score: 0.9190);Thyroid Gland Cribriform Morular Carcinoma (Score: 0.9153);Breast Tubular Carcinoma (Score: 0.8918)
RENAL_LEIOMYOBLASTOMA,Bizarre Leiomyoma<;>Kidney Leiomyoma,0,Kidney Leiomyoma (Score: 0.9523);Leiomyosarcoma (Score: 0.9289);Renal Cell Carcinoma (Score: 0.9252);Sarcomatoid Renal Cell Carcinoma (Score: 0.9149);Kidney Carcinoma (Score: 0.9088)
COLON CARCINOMA,Colon Carcinoma,1,Colon Carcinoma (Score: 1.0000);Colorectal Carcinoma (Score: 0.9745);Colon Adenocarcinoma (Score: 0.9734);Carcinoma (Score: 0.9573);Colon Medullary Carcinoma (Score: 0.9538)
GRANULOSA CELL TUMOR,Granulosa Cell Tumor,1,Granulosa Cell Tumor (Score: 1.0000);Ovarian Granulosa Cell Tumor (Score: 0.9851);Juvenile Granulosa Cell Tumor (Score: 0.9542);Giant Cell Tumor (Score: 0.9424);Testicular Germ Cell Tumor (Score: 0.9392)
CHOL,Cholangiocarcinoma,1,Cholangiocarcinoma (Score: 0.9207);Intrahepatic Cholangiocarcinoma (Score: 0.8958);Colon (Score: 0.8918);Combined Hepatocellular Carcinoma and Cholangiocarcinoma (Score: 0.8909);Gallbladder Carcinoma (Score: 0.8867)
UPPER_AERODIGESTIVE_CARCINOMA,upper aerodigestive tract neoplasm,1,upper aerodigestive tract neoplasm (Score: 0.9779);upper aerodigestive tract (Score: 0.9514);upper tract urothelial carcinoma (Score: 0.9347);Hypopharyngeal Squamous Cell Carcinoma (Score: 0.9152);Carcinoma (Score: 0.9136)
WELL DIFFERENTIATED ENDOMETRIAL ADENOCARCINOMA,Endometrial Adenocarcinoma<;>Well Differentiated,0,Well Differentiated Adenocarcinoma Cell (Score: 0.9639);Endometrial Adenocarcinoma (Score: 0.9473);Poorly Differentiated Adenocarcinoma (Score: 0.9434);Endometrial Endometrioid Adenocarcinoma (Score: 0.9404);Poorly Differentiated Adenocarcinoma Cell (Score: 0.9383)
SPINDLED/SCLEROSING/DIFFUSE ANAPLASIA,Anaplastic Lesion<;>Spindle Cell/Sclerosing Rhabdomyosarcoma<;>Diffuse,0,"Spindle Cell/Sclerosing Rhabdomyosarcoma (Score: 0.9278);Diffuse Astrocytoma (Score: 0.9181);Malignant Lymphoma, Histiocytic, Diffuse (Score: 0.9169);Spindle Cell Sarcoma (Score: 0.9127);Diffuse Sclerosing Variant Thyroid Gland Papillary Carcinoma (Score: 0.9095)"
DERMATOFIBROMA,Skin Fibrous Histiocytoma,0,Dermatofibrosarcoma Protuberans (Score: 0.9421);Myelofibrosis (Score: 0.9322);Fibromatosis (Score: 0.9157);Fibroblast (Score: 0.9143);Desmoid Fibromatosis (Score: 0.9115)
