original_value,curated_ontology,curated_ontology_term_id,curated_ontology_term_db
ADCA ACINAR WITH MUCIN PRODUCTION,Lung Colloid Adenocarcinoma,NCIT:C45512,NCIT
LYMPHOEPITHELIOMA-LIKE CARCINOMA OF THE LUNG,Lung Lymphoepithelial Carcinoma,NCIT:C45519,NCIT
SARCOMATOID CARCINOMA OF THE LUNG,Lung Sarcomatoid Carcinoma,NCIT:C45540,NCIT
SPINDLE CELL CARCINOMA OF THE LUNG,Lung Spindle Cell Carcinoma,NCIT:C45541,NCIT
PLEOMORPHIC CARCINOMA OF THE LUNG,Lung Pleomorphic Carcinoma,NCIT:C45542,NCIT
MUCOEPIDERMOID CARCINOMA OF THE LUNG,Lung Mucoepidermoid Carcinoma,NCIT:C45544,NCIT
ATYPICAL LUNG CARCINOID,Lung Neuroendocrine Tumor G2,NCIT:C45551,NCIT
SARCOMATOID MESOTHELIOMA,Sarcomatoid Mesothelioma,NCIT:C45655,NCIT
"PLEURAL MESOTHELIOMA, EPITHELIOID TYPE",Pleural Epithelioid Mesothelioma,NCIT:C45662,NCIT
"PLEURAL MESOTHELIOMA, SARCOMATOID TYPE",Pleural Sarcomatoid Mesothelioma,NCIT:C45663,NCIT
"PLEURAL MESOTHELIOMA, BIPHASIC TYPE",Pleural Biphasic Mesothelioma,NCIT:C45665,NCIT
"BOWEL CANCER, NOS",Malignant Intestinal Neoplasm,NCIT:C4572,NCIT
GERM CELL TUMOR WITH SOMATIC-TYPE MALIGNANCY,Mediastinal Germ Cell Tumor with Somatic-Type Malignancy,NCIT:C45732,NCIT
POORLY DIFFERENTIATED ONCOCYTIC CARCINOMA,Oncocytic Variant Thyroid Gland Papillary Carcinoma,NCIT:C46093,NCIT
CNS CANCER,Malignant Central Nervous System Neoplasm,NCIT:C4627,NCIT
CNS,Malignant Central Nervous System Neoplasm,NCIT:C4627,NCIT
FIBROBLAST_SKIN,Skin Fibroblastic Neoplasm,NCIT:C4634,NCIT
"SQUAMOUS CELL CARCINOMA, TONGUE",Tongue Squamous Cell Carcinoma,NCIT:C4648,NCIT
PINEAL GERM CELL TUMOR,Pineal Region Germ Cell Tumor,NCIT:C4659,NCIT
HEMANGIOPERICYTOMA OF THE CENTRAL NERVOUS SYSTEM,Meningeal Solitary Fibrous Tumor,NCIT:C4660,NCIT
T-CELL LARGE GRANULAR LYMPHOCYTIC LEUKEMIA,T-Cell Large Granular Lymphocyte Leukemia,NCIT:C4664,NCIT
T_CELL_LARGE_GRANULAR_LYMPHOCYTIC_LEUKAEMIA,T-Cell Large Granular Lymphocyte Leukemia,NCIT:C4664,NCIT
BREAST SARCOMA,Breast Sarcoma,NCIT:C4670,NCIT
ACUTE BIPHENOTYPIC LEUKEMIA,Acute Biphenotypic Leukemia,NCIT:C4673,NCIT
ACUTE_BIPHENOTYPIC_LEUKEMIA,Acute Biphenotypic Leukemia,NCIT:C4673,NCIT
DERMATOFIBROSARCOMA PROTUBERANS,Dermatofibrosarcoma Protuberans,NCIT:C4683,NCIT
ANAPLASTIC GANGLIOGLIOMA,Anaplastic Ganglioglioma,NCIT:C4717,NCIT
ATYPICAL MENINGIOMA,Atypical Meningioma,NCIT:C4723,NCIT
CELLULAR SCHWANNOMA,Cellular Schwannoma,NCIT:C4724,NCIT
"CRANIOPHARYNGIOMA, ADAMANTINOMATOUS TYPE",Adamantinomatous Craniopharyngioma,NCIT:C4726,NCIT
GLIONEURONAL TUMOR,Glioneuronal and Neuronal Tumors,NCIT:C4747,NCIT
B-PROLYMPHOCYTIC_LEUKEMIA,B-Cell Prolymphocytic Leukemia,NCIT:C4753,NCIT
CARCINOMA WITH CHONDROID METAPLASIA,Breast Carcinoma with Chondroid Metaplasia,NCIT:C47847,NCIT
CARCINOMA WITH OSSEOUS METAPLASIA,Breast Carcinoma with Osseous Metaplasia,NCIT:C47848,NCIT
THYROID CANCER,Thyroid Gland Carcinoma,NCIT:C4815,NCIT
"THYROID CANCER, NOS",Thyroid Gland Carcinoma,NCIT:C4815,NCIT
THCA,Thyroid Gland Carcinoma,NCIT:C4815,NCIT
THYROID CARCINOMA,Thyroid Gland Carcinoma,NCIT:C4815,NCIT
THYROID_CARCINOMA,Thyroid Gland Carcinoma,NCIT:C4815,NCIT
THYROID CARCINOMA OTHER,Thyroid Gland Carcinoma,NCIT:C4815,NCIT
EWING SARCOMA,Ewing Sarcoma,NCIT:C4817,NCIT
EWING'S SARCOMA,Ewing Sarcoma,NCIT:C4817,NCIT
ES,Ewing Sarcoma,NCIT:C4817,NCIT
EWINGS SARCOMA,Ewing Sarcoma,NCIT:C4817,NCIT
EWING_SARCOMA,Ewing Sarcoma,NCIT:C4817,NCIT
EWINGS_SARCOMA,Ewing Sarcoma,NCIT:C4817,NCIT
NO_FUSION,Ewing Sarcoma,NCIT:C4817,NCIT
CUTANEOUS SQUAMOUS CELL CARCINOMA,Skin Squamous Cell Carcinoma,NCIT:C4819,NCIT
CUTANEOUS SQUAMOUS CELL,Skin Squamous Cell Carcinoma,NCIT:C4819,NCIT
SKIN_SQUAMOUS,Skin Squamous Cell Carcinoma,NCIT:C4819,NCIT
CSCC,Skin Squamous Cell Carcinoma,NCIT:C4819,NCIT
"HIGH-GRADE GLIOMA, NOS",Malignant Glioma,NCIT:C4822,NCIT
HGGNOS,Malignant Glioma,NCIT:C4822,NCIT
ORAL CAVITY SQUAMOUS CELL CARCINOMA,Oral Cavity Squamous Cell Carcinoma,NCIT:C4833,NCIT
"SQUAMOUS CELL CARCINOMA, ORAL",Oral Cavity Squamous Cell Carcinoma,NCIT:C4833,NCIT
PARAGANGLIOMA; EXTRA-ADRENAL PHEOCHROMOCYTOMA,Extra-Adrenal Sympathetic Paraganglioma,NCIT:C48576,NCIT
EXTRA-ADRENAL PHEOCHROMOCYTOMA,Extra-Adrenal Sympathetic Paraganglioma,NCIT:C48576,NCIT
ACUTE_MONOCYTIC_LEUKEMIA,Acute Monocytic Leukemia,NCIT:C4861,NCIT
NEUROTROPIC,Desmoplastic Neurotropic Melanoma,NCIT:C48614,NCIT
PROSTATE CANCER,Prostate Carcinoma,NCIT:C4863,NCIT
"PROSTATE CANCER, NOS",Prostate Carcinoma,NCIT:C4863,NCIT
PROSTATE_CANCER,Prostate Carcinoma,NCIT:C4863,NCIT
"CARCINOMA, VULVAR",Vulvar Carcinoma,NCIT:C4866,NCIT
"SOFT TISSUE CANCER, NOS",Malignant Soft Tissue Neoplasm,NCIT:C4867,NCIT
BREAST CANCER,Breast Carcinoma,NCIT:C4872,NCIT
"BREAST CANCER, NOS",Breast Carcinoma,NCIT:C4872,NCIT
BREAST CARCINOMA,Breast Carcinoma,NCIT:C4872,NCIT
BREAST_CANCER,Breast Carcinoma,NCIT:C4872,NCIT
BREAST_CARCINOMA,Breast Carcinoma,NCIT:C4872,NCIT
BREAST CARCINOMA OTHER,Breast Carcinoma,NCIT:C4872,NCIT
BRCA,Breast Carcinoma,NCIT:C4872,NCIT
BRCA_NORMAL,Breast Carcinoma,NCIT:C4872,NCIT
LUNG CANCER,Lung Carcinoma,NCIT:C4878,NCIT
"LUNG CANCER, NOS",Lung Carcinoma,NCIT:C4878,NCIT
LUNG_CANCER,Lung Carcinoma,NCIT:C4878,NCIT
LUNG_CARCINOMA,Lung Carcinoma,NCIT:C4878,NCIT
MYXOINFLAMMATORY FIBROBLASTIC SARCOMA,Myxoinflammatory Fibroblastic Sarcoma,NCIT:C49025,NCIT
SCLEROSING EPITHELIOID FIBROSARCOMA,Sclerosing Epithelioid Fibrosarcoma,NCIT:C49027,NCIT
EPITHELIOID FIBROSARCOMA,Sclerosing Epithelioid Fibrosarcoma,NCIT:C49027,NCIT
OVARIAN CANCER,Ovarian Carcinoma,NCIT:C4908,NCIT
OVARIAN CARCINOMA,Ovarian Carcinoma,NCIT:C4908,NCIT
OVARIAN EPITHELIAL CARCINOMA OVCA,Ovarian Carcinoma,NCIT:C4908,NCIT
OVARIAN_CANCER,Ovarian Carcinoma,NCIT:C4908,NCIT
OVARIAN_CARCINOMA,Ovarian Carcinoma,NCIT:C4908,NCIT
"OVARIAN CANCER, OTHER",Ovarian Carcinoma,NCIT:C4908,NCIT
OVARIAN CARCINOMA OTHER,Ovarian Carcinoma,NCIT:C4908,NCIT
OVARY_CARCINOMA,Ovarian Carcinoma,NCIT:C4908,NCIT
OV,Ovarian Carcinoma,NCIT:C4908,NCIT
COLON CANCER,Colon Carcinoma,NCIT:C4910,NCIT
COLON CARCINOMA,Colon Carcinoma,NCIT:C4910,NCIT
COLON_CANCER,Colon Carcinoma,NCIT:C4910,NCIT
COLON_CARCINOMA,Colon Carcinoma,NCIT:C4910,NCIT
STOMACH CANCER,Gastric Carcinoma,NCIT:C4911,NCIT
GASTRIC CANCER,Gastric Carcinoma,NCIT:C4911,NCIT
GASTRIC_CANCER,Gastric Carcinoma,NCIT:C4911,NCIT
GASTRIC CARCINOMA OTHER,Gastric Carcinoma,NCIT:C4911,NCIT
BLADDER CANCER,Bladder Carcinoma,NCIT:C4912,NCIT
BLADDER_CANCER,Bladder Carcinoma,NCIT:C4912,NCIT
BLADDER_CARCINOMA,Bladder Carcinoma,NCIT:C4912,NCIT
"SKIN CANCER, NON-MELANOMA",Skin Carcinoma,NCIT:C4914,NCIT
EPENDYMOBLASTOMA,"Embryonal Tumor with Multilayered Rosettes, C19MC-Altered",NCIT:C4915,NCIT
EMBRYONAL TUMOR WITH ABUNDANT NEUROPIL AND TRUE ROSETTES,"Embryonal Tumor with Multilayered Rosettes, C19MC-Altered",NCIT:C4915,NCIT
SMALL CELL LUNG CANCER,Lung Small Cell Carcinoma,NCIT:C4917,NCIT
SCLC,Lung Small Cell Carcinoma,NCIT:C4917,NCIT
SMALL CELL LUNG CANCER SCLC,Lung Small Cell Carcinoma,NCIT:C4917,NCIT
LUNG_SMALL_CELL,Lung Small Cell Carcinoma,NCIT:C4917,NCIT
SMALL CELL BRONCHIOALVEOLAR CARCINOMA,Lung Small Cell Carcinoma,NCIT:C4917,NCIT
SELLAR TUMOR,Sellar Region Neoplasm,NCIT:C4944,NCIT
HURTHLE,Thyroid Gland Oncocytic Carcinoma,NCIT:C4946,NCIT
HURTHLE CELL THYROID CANCER,Thyroid Gland Oncocytic Carcinoma,NCIT:C4946,NCIT
DESMOPLASTIC/NODULAR MEDULLOBLASTOMA,Desmoplastic/Nodular Medulloblastoma,NCIT:C4956,NCIT
SECOND MALIGNANCY,Secondary Malignant Neoplasm,NCIT:C4968,NCIT
NERVE SHEATH TUMOR,Nerve Sheath Neoplasm,NCIT:C4972,NCIT
COLORECTAL ADENOCARCINOMA,Colorectal Adenocarcinoma,NCIT:C5105,NCIT
COLORECTAL_ADENOCARCINOMA,Colorectal Adenocarcinoma,NCIT:C5105,NCIT
ADENOID CYSTIC BREAST CANCER,Breast Adenoid Cystic Carcinoma,NCIT:C5130,NCIT
BREAST MIXED DUCTAL AND LOBULAR CARCINOMA,Breast Mixed Ductal and Lobular Carcinoma,NCIT:C5160,NCIT
DUCTAL AND LOBULAR FEATURES,Breast Mixed Ductal and Lobular Carcinoma,NCIT:C5160,NCIT
LOBULAR CARCINOMA WITH DUCTAL FEATURES,Breast Mixed Ductal and Lobular Carcinoma,NCIT:C5160,NCIT
DUCTAL AND LOBULAR,Breast Mixed Ductal and Lobular Carcinoma,NCIT:C5160,NCIT
MIXED INFILTRATING LOBULAR AND GRADE 1 DUCTAL CARCINOMA,Breast Mixed Ductal and Lobular Carcinoma,NCIT:C5160,NCIT
LOBULAR/DUCTAL,Breast Mixed Ductal and Lobular Carcinoma,NCIT:C5160,NCIT
INFILTRATING DUCTAL & LOBULAR,Breast Mixed Ductal and Lobular Carcinoma,NCIT:C5160,NCIT
DUCTAL/LOBULAR,Breast Mixed Ductal and Lobular Carcinoma,NCIT:C5160,NCIT
WITH DUCTAL AND LOBULAR PHENOTYPES,Breast Mixed Ductal and Lobular Carcinoma,NCIT:C5160,NCIT
METAPLASTIC BREAST CANCER,Breast Metaplastic Carcinoma,NCIT:C5164,NCIT
METAPLASTIC_BREAST_CARCINOMA,Breast Metaplastic Carcinoma,NCIT:C5164,NCIT
BREAST ANGIOSARCOMA,Breast Angiosarcoma,NCIT:C5184,NCIT
BENIGN PHYLLODES TUMOR OF THE BREAST,Benign Breast Phyllodes Tumor,NCIT:C5196,NCIT
BENIGN PT,Benign Breast Phyllodes Tumor,NCIT:C5196,NCIT
ADENOCARCINOMA- MAMMARY GLAND,Breast Adenocarcinoma,NCIT:C5214,NCIT
ADENOCARCINOMA-MAMMARY GLAND,Breast Adenocarcinoma,NCIT:C5214,NCIT
BREAST_ADENOCARCINOMA,Breast Adenocarcinoma,NCIT:C5214,NCIT
SEROUS BORDERLINE OVARIAN TUMOR,Borderline Ovarian Serous Tumor,NCIT:C5226,NCIT
MUCINOUS STOMACH ADENOCARCINOMA,Gastric Mucinous Adenocarcinoma,NCIT:C5248,NCIT
MUCINOUS COLLOID ADENOCARCINOMA,Gastric Mucinous Adenocarcinoma,NCIT:C5248,NCIT
"STOMACH, INTESTINAL ADENOCARCINOMA, MUCINOUS TYPE",Gastric Mucinous Adenocarcinoma,NCIT:C5248,NCIT
SIGNET RING CELL CARCINOMA OF THE STOMACH,Gastric Signet Ring Cell Adenocarcinoma,NCIT:C5250,NCIT
"STOMACH ADENOCARCINOMA, SIGNET RING TYPE",Gastric Signet Ring Cell Adenocarcinoma,NCIT:C5250,NCIT
BORDERLINE PHYLLODES TUMOR OF THE BREAST,Borderline Breast Phyllodes Tumor,NCIT:C5316,NCIT
BORDERLINE PT,Borderline Breast Phyllodes Tumor,NCIT:C5316,NCIT
LUMINAL A,Luminal A Breast Carcinoma,NCIT:C53554,NCIT
LUMA,Luminal A Breast Carcinoma,NCIT:C53554,NCIT
LUMINALA,Luminal A Breast Carcinoma,NCIT:C53554,NCIT
BRCA_LUMA,Luminal A Breast Carcinoma,NCIT:C53554,NCIT
LUMINAL B,Luminal B Breast Carcinoma,NCIT:C53555,NCIT
LUMB,Luminal B Breast Carcinoma,NCIT:C53555,NCIT
LUMINALB,Luminal B Breast Carcinoma,NCIT:C53555,NCIT
BRCA_LUMB,Luminal B Breast Carcinoma,NCIT:C53555,NCIT
HER2,HER2-Positive Breast Carcinoma,NCIT:C53556,NCIT
HER2-ENRICHED,HER2-Positive Breast Carcinoma,NCIT:C53556,NCIT
BRCA_HER2,HER2-Positive Breast Carcinoma,NCIT:C53556,NCIT
NORMAL-LIKE,Normal Breast-Like Subtype of Breast Carcinoma,NCIT:C53557,NCIT
BASAL-LIKE,Basal-Like Breast Carcinoma,NCIT:C53558,NCIT
INTIMAL SARCOMA,Intimal Sarcoma,NCIT:C53677,NCIT
ATYPICAL CHOROID PLEXUS PAPILLOMA,Atypical Choroid Plexus Papilloma,NCIT:C53686,NCIT
SECONDARY OSTEOSARCOMA,Secondary Osteosarcoma,NCIT:C53704,NCIT
OSTEOBLASTIC OSTEOSARCOMA,Osteoblastic Osteosarcoma,NCIT:C53953,NCIT
ERDHEIM-CHESTER DISEASE,Erdheim-Chester Disease,NCIT:C53972,NCIT
"CNS EMBRYONAL TUMOR, NOS","Central Nervous System Embryonal Tumor, Not Otherwise Specified",NCIT:C5398,NCIT
SINONASAL UNDIFFERENTIATED CARCINOMA,Sinonasal Undifferentiated Carcinoma,NCIT:C54294,NCIT
CLEAR CELL ODONTOGENIC CARCINOMA,Clear Cell Odontogenic Carcinoma,NCIT:C54300,NCIT
PAPILLARY STOMACH ADENOCARCINOMA,Gastric Papillary Adenocarcinoma,NCIT:C5472,NCIT
"STOMACH, INTESTINAL ADENOCARCINOMA, PAPILLARY TYPE",Gastric Papillary Adenocarcinoma,NCIT:C5472,NCIT
TUBULAR STOMACH ADENOCARCINOMA,Gastric Tubular Adenocarcinoma,NCIT:C5473,NCIT
"STOMACH, INTESTINAL ADENOCARCINOMA, TUBULAR TYPE",Gastric Tubular Adenocarcinoma,NCIT:C5473,NCIT
ADENOSQUAMOUS CARCINOMA OF THE STOMACH,Gastric Adenosquamous Carcinoma,NCIT:C5474,NCIT
UNDIFFERENTIATED STOMACH ADENOCARCINOMA,Gastric Undifferentiated Carcinoma,NCIT:C5476,NCIT
PRIMARY CNS MELANOMA,Central Nervous System Melanoma,NCIT:C5505,NCIT
PROSTATE SQUAMOUS CELL CARCINOMA,Prostate Squamous Cell Carcinoma,NCIT:C5536,NCIT
CAECUM ADENOCARCINOMA,Cecum Adenocarcinoma,NCIT:C5543,NCIT
CAECUM_ADENOCARCINOMA,Cecum Adenocarcinoma,NCIT:C5543,NCIT
POROCARCINOMA/SPIROADENOCARCINOMA,Porocarcinoma,NCIT:C5560,NCIT
PROSTATE ADENOCARCINOMA ACINAR TYPE,Prostate Acinar Adenocarcinoma,NCIT:C5596,NCIT
ANAL GLAND ADENOCARCINOMA,Anal Glands Adenocarcinoma,NCIT:C5609,NCIT
LUNG ACINAR ADENOCARCINOMA,Lung Acinar Adenocarcinoma,NCIT:C5649,NCIT
ACINAR ADENOCARCINOMA 85513,Lung Acinar Adenocarcinoma,NCIT:C5649,NCIT
LUNG PAPILLARY ADENOCARCINOMA,Lung Papillary Adenocarcinoma,NCIT:C5650,NCIT
SOLID ADENOCARCINOMA 82303,Solid Lung Adenocarcinoma,NCIT:C5651,NCIT
ADENOID CYSTIC CARCINOMA OF THE LUNG,Lung Adenoid Cystic Carcinoma,NCIT:C5666,NCIT
PLEUROPULMONARY BLASTOMA,Pleuropulmonary Blastoma,NCIT:C5669,NCIT
PLEUROPULMORY BLASTOMA PPB,Pleuropulmonary Blastoma,NCIT:C5669,NCIT
PLEUROPULMONARY BLASTOMA PPB,Pleuropulmonary Blastoma,NCIT:C5669,NCIT
MUCOSAL MELANOMA OF THE ESOPHAGUS,Esophageal Melanoma,NCIT:C5707,NCIT
SEROUS CYSTADENOMA OF THE PANCREAS,Pancreatic Serous Cystadenoma,NCIT:C5712,NCIT
PDA -  SIGNET RING,Pancreatic Signet Ring Cell Adenocarcinoma,NCIT:C5720,NCIT
ADENOSQUAMOUS CARCINOMA OF THE PANCREAS,Pancreatic Adenosquamous Carcinoma,NCIT:C5721,NCIT
UNDIFFERENTIATED CARCINOMA OF THE PANCREAS,Pancreatic Undifferentiated Carcinoma,NCIT:C5722,NCIT
PANCREAS-UNDIFFERENTIATED CARCINOMA,Pancreatic Undifferentiated Carcinoma,NCIT:C5722,NCIT
PDA - UNDIFFERENTIATED CARCINOMA SOME MULTINUCLEATED BUT NOT OSTEOCLAST,Pancreatic Undifferentiated Carcinoma,NCIT:C5722,NCIT
PDA - UNDIFFERENTIATED ANAPLASTIC CARCINOMA,Pancreatic Undifferentiated Carcinoma,NCIT:C5722,NCIT
INTRADUCTAL PAPILLARY MUCINOUS NEOPLASM WITH AN ASSOCIATED INVASIVE CARCINOMA,Pancreatic Intraductal Papillary-Mucinous Neoplasm with an Associated Invasive Carcinoma,NCIT:C5726,NCIT
INTRADUCTAL PAPILLARY MUCINOUS NEOPLASM WITH INVASION,Pancreatic Intraductal Papillary-Mucinous Neoplasm with an Associated Invasive Carcinoma,NCIT:C5726,NCIT
SMALL BOWEL NEUROENDOCRINE TUMOR,Small Intestinal Neuroendocrine Neoplasm,NCIT:C5803,NCIT
SALIVARY DUCT CARCINOMA,Salivary Duct Carcinoma,NCIT:C5904,NCIT
POORLY DIFFERENTIATED THYROID CARCINOMA,Poorly Differentiated Thyroid Gland Carcinoma,NCIT:C6040,NCIT
POORLY DIFFERENTIATED THYROID CANCER,Poorly Differentiated Thyroid Gland Carcinoma,NCIT:C6040,NCIT
THYROID POORLY DIFFERENTIATED,Poorly Differentiated Thyroid Gland Carcinoma,NCIT:C6040,NCIT
THPD,Poorly Differentiated Thyroid Gland Carcinoma,NCIT:C6040,NCIT
THYROID SARCOMA,Thyroid Gland Sarcoma,NCIT:C6041,NCIT
THYROID_SARCOMA,Thyroid Gland Sarcoma,NCIT:C6041,NCIT
ONCOCYTIC ADENOMA OF THE THYROID,Thyroid Gland Oncocytic Adenoma,NCIT:C6042,NCIT
MEDULLARY CARCINOMA OF THE COLON,Colon Medullary Carcinoma,NCIT:C60641,NCIT
ASTROCYTOMA,Astrocytoma,NCIT:C60781,NCIT
ASTROCYTOMA_GRADE_IV,Astrocytoma,NCIT:C60781,NCIT
ASTROCYTOMA_GRADE_III,Astrocytoma,NCIT:C60781,NCIT
URETHRAL SQUAMOUS CELL CARCINOMA,Urethral Squamous Cell Carcinoma,NCIT:C6165,NCIT
URETHRAL UROTHELIAL CARCINOMA,Urethral Urothelial Carcinoma,NCIT:C6166,NCIT
URETHRAL ADENOCARCINOMA,Urethral Adenocarcinoma,NCIT:C6167,NCIT
COLLECTING DUCT RENAL CELL CARCINOMA,Collecting Duct Carcinoma,NCIT:C6194,NCIT
OVARIAN GRANULOSA CELL TUMOR,Ovarian Granulosa Cell Tumor,NCIT:C6261,NCIT
ENDOMETRIOID ENDOMETRIAL ADENOCARCINOMA,Endometrial Endometrioid Adenocarcinoma,NCIT:C6287,NCIT
UTERINE ENDOMETRIOID CARCINOMA,Endometrial Endometrioid Adenocarcinoma,NCIT:C6287,NCIT
COPY-NUMBER LOW ENDOMETRIOD,Endometrial Endometrioid Adenocarcinoma,NCIT:C6287,NCIT
UTERINE ENDOMETRIOID,Endometrial Endometrioid Adenocarcinoma,NCIT:C6287,NCIT
UCEC ENDO,Endometrial Endometrioid Adenocarcinoma,NCIT:C6287,NCIT
UTERINE ADENOSARCOMA,Uterine Corpus Adenosarcoma,NCIT:C6336,NCIT
UTERINE SARCOMA,Uterine Corpus Sarcoma,NCIT:C6339,NCIT
UTERINE_SARCOMA,Uterine Corpus Sarcoma,NCIT:C6339,NCIT
"UTERINE SARCOMA, OTHER",Uterine Corpus Sarcoma,NCIT:C6339,NCIT
UTERINE LEIOMYOSARCOMA,Uterine Corpus Leiomyosarcoma,NCIT:C6340,NCIT
SARCOMA LEIOMYO,Uterine Corpus Leiomyosarcoma,NCIT:C6340,NCIT
SARC LMS,Uterine Corpus Leiomyosarcoma,NCIT:C6340,NCIT
CERVICAL ENDOMETRIOID CARCINOMA,Cervical Endometrioid Adenocarcinoma,NCIT:C6343,NCIT
ENDOMETRIOID ADENOCARCINOMA OF ENDOCERVIX,Cervical Endometrioid Adenocarcinoma,NCIT:C6343,NCIT
CERVICAL CLEAR CELL CARCINOMA,"Human Papillomavirus-Independent Cervical Adenocarcinoma, Clear Cell-Type",NCIT:C6344,NCIT
CERVICAL ADENOID CYSTIC CARCINOMA,Cervical Adenoid Cystic Carcinoma,NCIT:C6346,NCIT
PDA - UNDIFFERENTIATED CARCINOMA WITH OSTEOCLAST LIKE GIANT CELLS,Undifferentiated Carcinoma with Osteoclast-Like Giant Cells,NCIT:C63622,NCIT
MIXED INVASIVE DUCTAL AND INVASIVE LOBULAR,Invasive Breast Ductal Carcinoma and Invasive Lobular Carcinoma,NCIT:C6393,NCIT
INVASIVE MIXED DUCTAL AND LOBULAR CARCINOMA,Invasive Breast Ductal Carcinoma and Invasive Lobular Carcinoma,NCIT:C6393,NCIT
THYMIC EPITHELIAL TUMOR,Thymus Epithelial Neoplasm,NCIT:C6450,NCIT
THYMOMA; TYPE A,Thymoma Type A,NCIT:C6454,NCIT
TYPE ATHYMOMA,Thymoma Type A,NCIT:C6454,NCIT
TYPE A,Thymoma Type A,NCIT:C6454,NCIT
TYPE ATHYMOMA,Thymoma Type A,NCIT:C6454,NCIT
TC:SCC,Thymus Squamous Cell Carcinoma,NCIT:C6455,NCIT
DEDIFFERENTIATED CHONDROSARCOMA,Dedifferentiated Chondrosarcoma,NCIT:C6476,NCIT
DEDIFFERENTIATED,Dedifferentiated Chondrosarcoma,NCIT:C6476,NCIT
INFLAMMATORY MYOFIBROBLASTIC TUMOR,Inflammatory Myofibroblastic Tumor,NCIT:C6481,NCIT
FIBROBLASTIC MYOFIBROBLASTIC TUMOR,Inflammatory Myofibroblastic Tumor,NCIT:C6481,NCIT
PLEXIFORM FIBROHISTIOCYTIC TUMOR,Plexiform Fibrohistiocytic Tumor,NCIT:C6493,NCIT
MYXOFIBROSARCOMA,Myxofibrosarcoma,NCIT:C6496,NCIT
MYXOID FIBROSARCOMA,Myxofibrosarcoma,NCIT:C6496,NCIT
WELL-DIFFERENTIATED LIPOSARCOMA,Atypical Lipomatous Tumor/Well Differentiated Liposarcoma,NCIT:C6505,NCIT
WELL DIFFERENTIATED LIPOSARCOMA,Atypical Lipomatous Tumor/Well Differentiated Liposarcoma,NCIT:C6505,NCIT
NON_SMALL_CELL_CARCINOMA,Non-Small Cell Carcinoma,NCIT:C65151,NCIT
MALIGNANT SMALL CELL TUMOR,"Malignant Tumor, Small Cell Type",NCIT:C65154,NCIT
SPINDLE CELL RHABDOMYOSARCOMA,Spindle Cell Rhabdomyosarcoma,NCIT:C6519,NCIT
TUBULAR_ADENOCARCINOMA,Tubular Adenocarcinoma,NCIT:C65192,NCIT
"ADENOCARCINOMA, TUBULAR",Tubular Adenocarcinoma,NCIT:C65192,NCIT
SYNOVIAL SARCOMA - MONOPHASIC,Monophasic Synovial Sarcoma,NCIT:C6534,NCIT
MYXOMA,Myxoma,NCIT:C6577,NCIT
OSSIFYING FIBROMYXOID TUMOR,Ossifying Fibromyxoid Tumor,NCIT:C6582,NCIT
EXTRARENAL RHABDOID TUMOR,Extrarenal Rhabdoid Tumor,NCIT:C6586,NCIT
MEDULLARY CARCINOMA,"Medullary Carcinoma, Not Otherwise Specified",NCIT:C66718,NCIT
MEDULLARY,"Medullary Carcinoma, Not Otherwise Specified",NCIT:C66718,NCIT
ADENOCARCINOMA WITH NE FEATURES,Adenocarcinoma with Neuroendocrine Differentiation,NCIT:C66745,NCIT
ROSETTE-FORMING GLIONEURONAL TUMOR OF THE FOURTH VENTRICLE,Rosette-Forming Glioneuronal Tumor of the Fourth Ventricle,NCIT:C67559,NCIT
SMALL CELL NEUROENDOCRINE CARCINOMA OF GALLBLADDER,Gallbladder Small Cell Neuroendocrine Carcinoma,NCIT:C6763,NCIT
SMALL CELL CARCINOMA OF  GALLBLADDER,Gallbladder Small Cell Neuroendocrine Carcinoma,NCIT:C6763,NCIT
SMALL CELL CARCINOMA OF THE STOMACH,Gastric Small Cell Neuroendocrine Carcinoma,NCIT:C6764,NCIT
GASTRIC_SMALL_CELL,Gastric Small Cell Neuroendocrine Carcinoma,NCIT:C6764,NCIT
PROSTATE SMALL CELL CARCINOMA,Prostate Small Cell Neuroendocrine Carcinoma,NCIT:C6766,NCIT
PROSTATE_SMALL_CELL,Prostate Small Cell Neuroendocrine Carcinoma,NCIT:C6766,NCIT
EPENDYMOMAL TUMOR,Ependymal Tumor,NCIT:C6770,NCIT
DERMATOFIBROMA,Skin Fibrous Histiocytoma,NCIT:C6801,NCIT
"PROSTATE ADENOCARCINOMA, NOT OTHERWISED SPECIFIED, WITH DUCTAL FEATUES",Prostate Ductal Adenocarcinoma,NCIT:C6813,NCIT
ADENOCARCINOMA PROSTATE WITH PROMINENT DUCTAL DIFFERENTIATION IDENTIFIED,Prostate Ductal Adenocarcinoma,NCIT:C6813,NCIT
25-30% DUCTAL COMPONENT,Prostate Ductal Adenocarcinoma,NCIT:C6813,NCIT
SINONASAL SQUAMOUS CELL CARCINOMA,Sinonasal Squamous Cell Carcinoma,NCIT:C68611,NCIT
MDS WITH ISOLATED DEL5Q,Myelodysplastic Syndrome with del(5q),NCIT:C6867,NCIT
MYELODYSPLASTIC SYNDROME ASSOCIATED WITH ISOLATED DEL5Q,Myelodysplastic Syndrome with del(5q),NCIT:C6867,NCIT
SOLID PAPILLARY CARCINOMA OF THE BREAST,Breast Solid Papillary Carcinoma,NCIT:C6870,NCIT
